Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,max_ratio_absG_over_abslam,y_at_max_ratio,min_abs_Fk_on_boundary,y_at_min_abs_Fk
0.25,0.3,12,0.10000000000000006,35.40152936400517,0.0,1.0236996474450477,2.5250000000000004
0.26,0.05,3,0.26039250153388793,4.449373887301483,0.0,0.08377332899024578,0.5750000000000001
0.26,0.05,4,0.26039250153388793,6.157318353480694,0.0,0.14866654645685698,0.8
0.26,0.05,5,0.26039250153388793,7.65884895979953,0.0,0.22018982823564195,1.0
0.26,0.05,6,0.26039250153388793,8.958248109814026,0.0,0.29402442335238604,1.225
0.26,0.05,7,0.26039250153388793,10.096948722747898,0.0,0.36848210590272745,1.4500000000000002
0.26,0.05,8,0.26039250153388793,11.120267663073006,0.0,0.44211273720175465,1.675
0.26,0.05,9,0.26039250153388793,12.066108241421851,0.0,0.5132850258032073,1.925
0.26,0.05,10,0.26039250153388793,12.963112511762208,0.0,0.583233965444932,2.15
0.26,0.05,11,0.26039250153388793,13.831905751769954,0.0,0.652165066142373,2.4000000000000004
0.26,0.05,12,0.26039250153388793,14.6869360362266,0.0,0.7189950126675974,2.625
0.26,0.060000000000000005,3,0.26600984288127094,4.3908868891970805,0.0,0.07604287307064311,0.5750000000000001
0.26,0.060000000000000005,4,0.26600984288127094,6.07825441172372,0.0,0.14034615533369227,0.8
0.26,0.060000000000000005,5,0.26600984288127094,7.556471586760808,0.0,0.2115336526117726,1.0
0.26,0.060000000000000005,6,0.26600984288127094,8.830571322648474,0.0,0.2851840062593332,1.225
0.26,0.060000000000000005,7,0.26600984288127094,9.943387353367811,0.0,0.3594854344236876,1.4500000000000002
0.26,0.060000000000000005,8,0.26600984288127094,10.941238839119523,0.0,0.43295295664346795,1.675
0.26,0.060000000000000005,9,0.26600984288127094,11.862500287640444,0.0,0.503999239172722,1.925
0.26,0.060000000000000005,10,0.26600984288127094,12.7359222343756,0.0,0.5737499316144287,2.15
0.26,0.060000000000000005,11,0.26600984288127094,13.582049760115723,0.0,0.6425513560526191,2.4000000000000004
0.26,0.060000000000000005,12,0.26600984288127094,14.415175304550846,0.0,0.7091779786020661,2.625
0.26,0.07,3,0.2558298705597036,4.4113691357437705,0.0,0.09418777320644113,0.5750000000000001
0.26,0.07,4,0.2558298705597036,6.160207410032724,0.0,0.15837532014187233,0.8
0.26,0.07,5,0.2558298705597036,7.709198920188621,0.0,0.22982907630733343,1.0
0.26,0.07,6,0.2558298705597036,9.052280414370241,0.0,0.30366889505739963,1.225
0.26,0.07,7,0.2558298705597036,10.227873110166113,0.0,0.37824381901736404,1.4500000000000002
0.26,0.07,8,0.2558298705597036,11.281691484948768,0.0,0.4520333590764812,1.675
0.26,0.07,9,0.2558298705597036,12.253026644769779,0.0,0.5233672114369413,1.925
