side,Omega_center,Delta_center,box_status,passed,sigma_minus_diff,alpha_center,y_center,sigma_center,worst_sigma,max_diff
1,0.2650349999999999,0.082406889440976,certified_box,True,0.02229819604207069,0.2800586724396714,0.596,0.023316256495321958,0.022823152775390803,0.0010180604532512673
2,0.2650349999999999,0.082346889440976,certified_box,True,0.02193699190684304,0.2807099657519585,0.596,0.022765880995320727,0.022763205451849185,0.0008288890884776865
1,0.26504,0.0824193243318423,certified_box,True,0.02229797836316593,0.28006269086914365,0.596,0.023315466471809695,0.02282311713804996,0.0010174881086437645
2,0.26504,0.0823593243318423,certified_box,True,0.021937049795156007,0.28071297566943065,0.596,0.022765938866873617,0.022763206205892547,0.0008288890717176096
1,0.265045,0.0824317570434138,certified_box,True,0.022297767417687332,0.2800667058779335,0.596,0.02331468563087624,0.02282308818104025,0.0010169182131889065
2,0.265045,0.0823717570434138,certified_box,True,0.02193711431706521,0.2807159853720684,0.596,0.022766003372022305,0.022763177956220782,0.000828889054957093
1,0.26505,0.0824441875756904,certified_box,True,0.022297563187759495,0.2800707175020882,0.596,0.023313913942597773,0.022823065884148515,0.0010163507548382777
2,0.26505,0.0823841875756904,certified_box,True,0.021937185472373638,0.28071899485968815,0.596,0.022766074510569632,0.02276314727733638,0.0008288890381959941
1,0.265055,0.0824566159297898,certified_box,True,0.022297365676322678,0.28007472575424597,0.596,0.023313151396738445,0.02282305024853224,0.0010157857204157652
2,0.265055,0.0823966159297898,certified_box,True,0.02193726326078359,0.2807220041323304,0.596,0.022766152282217917,0.022763123235192813,0.0008288890214343266
1,0.2650599999999999,0.0824690421068296,certified_box,True,0.022297174886319524,0.28007873064698907,0.596,0.02331239798310012,0.022823000572887792,0.0010152230967805955
2,0.2650599999999999,0.0824090421068295,certified_box,True,0.0219373476819895,0.28072501319003773,0.596,0.022766236686661754,0.022763105829573745,0.0008288890046722538
1,0.265065,0.0824814661090448,certified_box,True,0.022296990841265713,0.28008273216973245,0.596,0.02331165371096884,0.022822953695479698,0.0010146628697031274
2,0.265065,0.0824214661090448,certified_box,True,0.02193743873558565,0.2807280220330768,0.596,0.02276632772349529,0.022763095060161113,0.0008288889879096398
1,0.26507,0.0824938879364356,certified_box,True,0.022296697729040287,0.28008673035799114,0.5965,0.02331080285074491,0.022822913483887493,0.0010141051217046231
2,0.26507,0.0824338879364356,certified_box,True,0.02193734998930064,0.2807310306612645,0.5965,0.02276623905513829,0.02276309092682503,0.0008288890658376521
1,0.265075,0.0825063075890019,certified_box,True,0.022296308629676017,0.2800907252471089,0.5965,0.023309858282308873,0.022822879918198435,0.0010135496526328556
2,0.265075,0.0824463075890019,certified_box,True,0.021937230818026836,0.28073403907441663,0.5965,0.022766119867104317,0.022763093429429036,0.0008288890490774801
1,0.26508,0.0825187250700965,certified_box,True,0.022295926274534236,0.2800947168032228,0.5965,0.02330892281606694,0.022822853041900817,0.0010129965415327034
2,0.26508,0.0824587250700965,certified_box,True,0.02193711828385809,0.28073704727302873,0.5965,0.022766007316174966,0.022763060239041153,0.000828889032316879
1,0.265085,0.0825311403786018,certified_box,True,0.022295550625586934,0.28009870508449575,0.5965,0.023307996403665363,0.022822832814011762,0.00101244577807843
2,0.265085,0.0824711403786018,certified_box,True,0.02193701238685135,0.2807400552566907,0.5965,0.022765901402407234,0.022763031309184834,0.0008288890155558853
1,0.26509,0.082543553516753,certified_box,True,0.022295181706477922,0.2801026900799199,0.5965,0.02330707905495318,0.022822816462080144,0.0010118973484752572
2,0.26509,0.082483553516753,certified_box,True,0.021936913126766135,0.28074306302566976,0.5965,0.022765802125560425,0.02276300901557855,0.0008288889987942908
1,0.2650949999999999,0.0825559644856676,certified_box,True,0.022294819520265203,0.28010667180148496,0.5965,0.023306170760415718,0.022822764987917084,0.0010113512401505149
2,0.2650949999999999,0.0824959644856676,certified_box,True,0.021936820503449896,0.28074607058001166,0.5965,0.02276570948548207,0.02276299335800444,0.0008288889820321749
1,0.2651,0.0825683732853457,certified_box,True,0.022294464049566348,0.2801106502839341,0.5965,0.023305271491378916,0.022822720167013796,0.001010807441812568
2,0.2651,0.0825083732853457,certified_box,True,0.021936734516846204,0.2807490779195307,0.5965,0.02276562348211569,0.022762984336336074,0.000828888965269485
1,0.265105,0.0825807799180224,certified_box,True,0.02229411531787651,0.2801146255161088,0.5965,0.02330438125779054,0.022822682021634184,0.001010265939914032
2,0.265105,0.0825207799180224,certified_box,True,0.021936655166694418,0.2807520850444969,0.5965,0.022765544115200823,0.022762981950246963,0.0008288889485064059
1,0.26511,0.0825931843842566,certified_box,True,0.022293773318016755,0.2801185975211571,0.5965,0.023303500040715918,0.022822650542597505,0.0010097267226991638
2,0.26511,0.0825331843842566,certified_box,True,0.021936582452874633,0.2807550919548423,0.5965,0.022765471384617392,0.02276298189377423,0.0008288889317427576
1,0.265115,0.0826055866846069,certified_box,True,0.022293438042874703,0.28012256632201005,0.5965,0.02330262782139342,0.02282262572078988,0.0010091897785187171
2,0.265115,0.0825455866846069,certified_box,True,0.021936516375263452,0.2807580986504945,0.5965,0.02276540529024201,0.022762948075119672,0.0008288889149785593
1,0.2651199999999999,0.0826179868207499,certified_box,True,0.02229310950564179,0.28012653191877324,0.5965,0.02330176460026244,0.022822607567966443,0.00100865509462065
2,0.2651199999999999,0.0825579868207499,certified_box,True,0.021936456933632293,0.28076110513161157,0.5965,0.022765345831846265,0.02276292089248071,0.0008288888982139723
1,0.265125,0.0826303847932443,certified_box,True,0.02229278769918255,0.2801304943342235,0.5965,0.02330091035867185,0.02282258660625607,0.0010081226594892986
2,0.265125,0.0825703847932443,certified_box,True,0.021936404127842517,0.280764111398126,0.5965,0.02276529300929133,0.02276290034569361,0.0008288888814488134
1,0.26513,0.0826427806032076,certified_box,True,0.022292472626531286,0.28013445357964306,0.5965,0.02330006508763528,0.022822537186762314,0.0010075924611039927
2,0.26513,0.0825827806032076,certified_box,True,0.02193635795770612,0.2807671174500779,0.5965,0.022765246822389194,0.02276288643453661,0.0008288888646830755
1,0.265135,0.0826551742517575,certified_box,True,0.022292164290689802,0.2801384096662453,0.5965,0.023299228778215,0.022822494430914945,0.0010070644875252003
2,0.265135,0.0825951742517575,certified_box,True,0.02193631842302296,0.28077012328751483,0.5965,0.02276520727093986,0.022762879158786276,0.0008288888479168998
1,0.26514,0.0826675657400116,certified_box,True,0.022291862694652647,0.2801423626051506,0.5965,0.02329840142154204,0.022822458340105795,0.0010065387268893935
2,0.26514,0.0826075657400116,certified_box,True,0.021936285523591486,0.28077312891047945,0.5965,0.02276517435474174,0.022762878518211033,0.0008288888311502524
1,0.2651449999999999,0.0826799550690874,certified_box,True,0.022291567841390338,0.2801463124074297,0.5965,0.023297583008780088,0.022822428915727798,0.0010060151673897514
2,0.2651449999999999,0.0826199550690874,certified_box,True,0.02193625925920265,0.28077613431901677,0.5965,0.022765148073585668,0.022762873533326462,0.0008288888143830193
1,0.26515,0.082692342238985,certified_box,True,0.022291279713764916,0.2801502591066134,0.5965,0.023296773512179604,0.022822406138545668,0.0010054937984146888
2,0.26515,0.082632342238985,certified_box,True,0.021936239629738584,0.2807791395129457,0.5965,0.022765128427353887,0.02276284146069868,0.0008288887976153049
1,0.265155,0.082704727253057,certified_box,True,0.02229099835490738,0.2801542026684364,0.5965,0.023295972961042313,0.02282239005118122,0.0010049746061349325
2,0.265155,0.082644727253057,certified_box,True,0.021936226634785134,0.280782144492762,0.5965,0.022765115415632222,0.022762816023539315,0.000828888780847089
1,0.26516,0.0827171101090684,certified_box,True,0.02229072370759984,0.2801581431713259,0.5965,0.023295181289813595,0.02282236445890368,0.0010044575822137517
