k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,n_y_used,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,y_at_min,param_pert,higher_rank_margin,passed
61,0.2700000000000001,0.2800000000000001,0.05,0.060000000000000005,0.2586104644705296,17.467741697197155,0.6600000000000006,18.127741697197155,801,1.0013673149739837,0.9787076378524879,0.6600000000000006,0.6600000000000006,-15.408580442617582,0.6100000000000005,0.050000000000000044,True
61,0.2700000000000001,0.2800000000000001,0.060000000000000005,0.07,0.26290039940489673,17.605661021387427,0.6600000000000006,18.265661021387427,801,0.9978490479049902,0.9750169716282566,0.6600000000000006,0.6600000000000006,15.43448356307238,0.6100000000000005,0.050000000000000044,True
61,0.2700000000000001,0.2800000000000001,0.07,0.08000000000000002,0.26851733357929564,17.763468129844487,0.6600000000000008,18.423468129844487,801,0.9931486035882924,0.9701192684259863,0.6600000000000008,0.6600000000000008,-15.429654558744758,0.6100000000000008,0.050000000000000044,True
61,0.2700000000000001,0.2800000000000001,0.08000000000000002,0.09000000000000001,0.2760219087356501,17.940638227220372,0.6600000000000004,18.600638227220372,801,0.9869491496140811,0.9636983518300565,0.6600000000000004,0.6600000000000004,-15.43852972859291,0.6100000000000003,0.050000000000000044,True
61,0.2700000000000001,0.2800000000000001,0.09000000000000001,0.1,0.2552301773845622,18.136603871728592,0.6600000000000004,18.796603871728593,801,1.0056349808061145,0.982139225966453,0.6600000000000004,0.6600000000000004,15.413215174817445,0.6100000000000003,0.050000000000000044,True
61,0.2700000000000001,0.2800000000000001,0.1,0.11000000000000001,0.23409910854972824,18.35076292691941,0.6600000000000008,19.01076292691941,801,1.0248906568595775,1.0011272032009284,0.6600000000000008,0.6600000000000008,15.398717970804721,0.6100000000000008,0.050000000000000044,True
61,0.2700000000000001,0.2800000000000001,0.11000000000000001,0.12000000000000001,0.21990595313102274,18.582486378307955,0.6600000000000004,19.242486378307955,801,1.0379800333773135,1.0139269254044292,0.6600000000000004,0.6600000000000004,15.442095318592134,0.6100000000000003,0.050000000000000044,True
61,0.2800000000000001,0.2900000000000001,0.05,0.060000000000000005,0.25791814341786146,18.064653331852227,0.6600000000000006,18.724653331852227,801,1.0246430455307916,1.0012372288659754,0.6600000000000006,0.6600000000000006,16.009578598733658,0.6100000000000005,0.050000000000000044,True
61,0.2800000000000001,0.2900000000000001,0.060000000000000005,0.07,0.2617666847226715,18.198049346015118,0.6600000000000006,18.858049346015118,801,1.021652673764052,0.9980801120815332,0.6600000000000006,0.6600000000000006,-16.02934194411285,0.6100000000000005,0.050000000000000044,True
61,0.2800000000000001,0.2900000000000001,0.07,0.08000000000000002,0.26668236366712617,18.35076292691943,0.6600000000000008,19.01076292691943,801,1.0174792159578976,0.9937157622992485,0.6600000000000008,0.6600000000000008,16.01656776592962,0.6100000000000008,0.050000000000000044,True
