side,offset,Omega_center,Delta_center,box_status,passed,sigma_minus_diff,alpha_center,y_center,sigma_center,worst_sigma,max_diff
2,0.00512,0.264945,0.0770326874529197,certified_box,True,0.022362576667442832,0.2796616364838691,0.5954999999999999,0.023192822567545842,0.02319019772881453,0.0008302459001030085
1,0.00256,0.2649499999999999,0.08472516175996511,certified_box,True,0.039024939159910045,0.26052363822738855,0.5954999999999999,0.039868588109418575,0.039744585031223516,0.0008436489495085303
2,0.00256,0.2649499999999999,0.0796051617599651,certified_box,True,0.022152175639125526,0.28015632766861837,0.596,0.022982423566909826,0.022979044669212172,0.0008302479277843013
1,0.00512,0.2649499999999999,0.0872851617599651,certified_box,True,0.04696933697234678,0.2513312794321933,0.5954999999999999,0.04780616190141062,0.047720265620149714,0.0008368249290638421
2,0.00512,0.2649499999999999,0.0770451617599651,certified_box,True,0.02236265517340021,0.2796645282300983,0.5954999999999999,0.0231929010533423,0.02319022021560063,0.0008302458799420914
1,0.00256,0.264955,0.0847376338687166,certified_box,True,0.039020455471904976,0.26053206687045616,0.5954999999999999,0.039864101816305154,0.03974004137380382,0.0008436463444001771
2,0.00256,0.264955,0.07961763386871659,certified_box,True,0.02215207937623021,0.2801592808610035,0.596,0.02298232728397505,0.022979068946475986,0.0008302479077448403
1,0.00512,0.264955,0.0872976338687166,certified_box,True,0.04696553228584167,0.2513388921612784,0.5954999999999999,0.047802356412753655,0.047716428694879014,0.0008368241269119878
2,0.00512,0.264955,0.0770576338687166,certified_box,True,0.02236274015295412,0.2796674197992699,0.5954999999999999,0.023192986012734246,0.023190249178350584,0.0008302458597801241
1,0.00256,0.26496,0.08475010377917441,certified_box,True,0.039015908635330165,0.2605404933763517,0.596,0.03985955251735733,0.03973550327147353,0.0008436438820271676
2,0.00256,0.26496,0.0796301037791744,certified_box,True,0.022151989670093505,0.28016223385693917,0.596,0.02298223755779757,0.022979062305208475,0.0008302478877040662
1,0.00512,0.26496,0.0873101037791744,certified_box,True,0.0469617315293847,0.25134650391754004,0.5954999999999999,0.047798554853578694,0.04771259570393596,0.0008368233241939905
2,0.00512,0.26496,0.0770701037791744,certified_box,True,0.02236283160592031,0.2796703111911951,0.5954999999999999,0.023193077445537145,0.023190284616928587,0.0008302458396168337
1,0.00256,0.264965,0.08476257149357341,certified_box,True,0.03901130692426598,0.2605489177398312,0.596,0.03985494819571306,0.03973097072988502,0.0008436412714470788
2,0.00256,0.264965,0.0796425714935734,certified_box,True,0.022151906520477996,0.2801651866566745,0.596,0.02298215438814013,0.022979055420015493,0.0008302478676621337
1,0.00512,0.264965,0.0873225714935734,certified_box,True,0.046957934706903376,0.25135411469718416,0.5954999999999999,0.04779475722781069,0.04770876665127159,0.0008368225209073079
2,0.00512,0.264965,0.0770825714935734,certified_box,True,0.02236292953192867,0.2796732024061056,0.5954999999999999,0.023193175351381094,0.023190326531011433,0.0008302458194524223
1,0.00256,0.26497,0.0847750370130315,certified_box,True,0.03900671074067105,0.26055733996059843,0.596,0.039850349398800756,0.0397264437504103,0.0008436386581297017
2,0.00256,0.26497,0.07965503701303149,certified_box,True,0.02215182992723527,0.2801681392602399,0.596,0.022982077774854413,0.022979055090508085,0.0008302478476191438
1,0.00512,0.26497,0.0873350370130315,certified_box,True,0.046954141819429945,0.2513617244997434,0.5954999999999999,0.047790963536483204,0.04770493220937794,0.0008368217170532553
2,0.00512,0.26497,0.0770950370130315,certified_box,True,0.022363033930692805,0.27967609344402344,0.5954999999999999,0.023193279729979713,0.02319037492036053,0.000830245799286907
1,0.00256,0.2649749999999999,0.0847875003375485,certified_box,True,0.03900212008167254,0.26056576004332416,0.596,0.039845756123757146,0.03972192233013026,0.0008436360420846111
2,0.00256,0.2649749999999999,0.07966750033754849,certified_box,True,0.02215175989030655,0.2801710916674459,0.596,0.022982007717881336,0.022979061316560006,0.0008302478275747871
1,0.00512,0.2649749999999999,0.0873475003375485,certified_box,True,0.04695035286507812,0.2513693333281104,0.5954999999999999,0.04778717377771149,0.047701089423194995,0.0008368209126333674
2,0.00512,0.2649749999999999,0.0771075003375485,certified_box,True,0.022363144802012676,0.2796789843047594,0.5954999999999999,0.023193390581132727,0.0231904054049892,0.0008302457791200503
1,0.00256,0.26498,0.0847999614682421,certified_box,True,0.03899753494866773,0.2605741779877127,0.596,0.039841168371982,0.03971740647041827,0.0008436334233142655
2,0.00256,0.26498,0.07967996146824209,certified_box,True,0.022151696409530935,0.2801740438783244,0.596,0.022981944217060273,0.022979074097947458,0.0008302478075293395
1,0.00512,0.26498,0.0873599614682421,certified_box,True,0.04694652467387194,0.25137694118182113,0.596,0.04778334492673261,0.047697250572637136,0.0008368202528606693
2,0.00512,0.26498,0.0771199614682421,certified_box,True,0.02236326214559126,0.2796818749883352,0.5954999999999999,0.023193507904543352,0.023190422893143253,0.0008302457589520916
1,0.00256,0.2649849999999999,0.0848124204073474,certified_box,True,0.03899295534732191,0.26058259378850035,0.596,0.039836586149139035,0.039712874981598596,0.0008436308018171271
2,0.00256,0.2649849999999999,0.07969242040734739,certified_box,True,0.022151639484649294,0.280176995893124,0.596,0.022981887272132077,0.022979093434344185,0.0008302477874827824
1,0.00512,0.2649849999999999,0.0873724204073474,certified_box,True,0.04694263571620274,0.2513845480570622,0.596,0.04777945516351778,0.04769341566166809,0.0008368194473150399
2,0.00512,0.2649849999999999,0.0771324204073474,certified_box,True,0.02236338596103677,0.27968476549498367,0.5954999999999999,0.02319363169981982,0.023190446857040383,0.0008302457387830479
1,0.00256,0.26499,0.08482487715486431,certified_box,True,0.038988381274764276,0.26059100745035046,0.596,0.039832009452366875,0.039708344333990626,0.0008436281776025974
2,0.00256,0.26499,0.0797048771548643,certified_box,True,0.022151589115584264,0.28017994771165794,0.596,0.022981836883019253,0.022979119325608737,0.0008302477674349884
1,0.00512,0.26499,0.0873848771548643,certified_box,True,0.04693875068056746,0.2513921539567138,0.596,0.04777556932177251,0.04768958468840682,0.000836818641205052
2,0.00512,0.26499,0.0771448771548643,certified_box,True,0.022363516248131498,0.2796876558245161,0.5954999999999999,0.023193761966744254,0.023190477296546535,0.0008302457186127554
1,0.00256,0.264995,0.08483733171135191,certified_box,True,0.03898381273026057,0.2605994189754409,0.596,0.039827438280936815,0.039703819243827036,0.0008436255506762493
