Omega_lo,Omega_hi,Delta_lo,Delta_hi,Omega_center,Delta_center,alpha_upper_gap3,Ymax,sigma_center_min,y_at_min,pert_bound,k4_gt_k3_margin,passed,depth
0.21,0.2125,0.055,0.057499999999999996,0.21125,0.056249999999999994,0.2877771807661205,13.412969469882498,0.02099736538256697,-0.6147611007029479,0.015588737279118123,0.005408628103448849,True,2
0.21,0.2125,0.057499999999999996,0.06,0.21125,0.05875,0.288050309566088,13.413626467141539,0.02090890815951972,-0.6147912130773197,0.015589011027975497,0.005319897131544224,True,2
0.2125,0.215,0.055,0.057499999999999996,0.21375,0.056249999999999994,0.2884986274810434,13.41535966718746,0.02150736098230196,-0.6260501178020803,0.015589733194661046,0.005917627787640916,True,2
0.2125,0.215,0.057499999999999996,0.06,0.21375,0.05875,0.288765582242708,13.416016547395877,0.021416540918259733,-0.6260807722118074,0.015590006894748543,0.005826534023511191,True,2
0.215,0.2175,0.05,0.052500000000000005,0.21625,0.051250000000000004,0.28874253838279385,13.416547618519452,0.022359697575324366,-0.6372860118796737,0.015590228174383158,0.0067694694009412075,True,2
0.215,0.2175,0.052500000000000005,0.055,0.21625,0.053750000000000006,0.28898021026605875,13.417148542071077,0.022275888538326728,0.637314555748377,0.015590478559196472,0.006685409979130256,True,2
0.2175,0.22,0.05,0.052500000000000005,0.21875,0.051250000000000004,0.289493361669533,13.418993069526492,0.02294194966163553,-0.6374021708025079,0.015591247112302975,0.007350702549332556,True,2
0.2175,0.22,0.052500000000000005,0.055,0.21875,0.053750000000000006,0.2897258555099544,13.419593883571887,0.022875397933796945,0.6374307094696636,0.015591497451487898,0.007283900482309046,True,2
0.215,0.2175,0.055,0.057499999999999996,0.21625,0.056249999999999994,0.28922955152765023,13.417777386735853,0.022187882617455298,0.6373444258699532,0.015590740577806836,0.006597142039648462,True,2
0.215,0.2175,0.057499999999999996,0.06,0.21625,0.05875,0.2894905717885096,13.418434148588277,0.022095685673621315,-0.6373756220579434,0.015591014228578226,0.006504671445043089,True,2
0.2175,0.22,0.055,0.057499999999999996,0.21875,0.056249999999999994,0.2899697551555367,13.420222613652875,0.022805608846165264,-0.6374605741485126,0.01559175942235512,0.007213849423810145,True,2
0.2175,0.22,0.057499999999999996,0.06,0.21875,0.05875,0.290225068728724,13.420879255846094,0.02273260683488971,-0.6374917646526903,0.015592033023269503,0.007140573811620206,True,2
