Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det,min_Re_Sigma_minus,min_Re_Sigma_plus
0.251,0.14700000000000002,3,0.1543515050388285,0.1309708912133517,0.556,0.4155004937281729,0.4915,0.021598832277773875,0.02010651123173364
0.251,0.148,3,0.153886519838142,0.13148141980568404,0.556,0.4175056010534222,0.4905,0.021598988926003114,0.020097350371403602
0.251,0.149,3,0.15342355832107654,0.131990861471831,0.556,0.41950943221806136,0.49,0.02159913453254329,0.020088189634149517
0.251,0.15,3,0.15296260585336743,0.13249922722285323,0.556,0.4215120324815401,0.4895,0.021599269035286486,0.020079028969138307
0.252,0.06,3,0.2099714427208889,0.076640053571067,0.557,0.2220043426246373,0.5375,0.021749774121039227,0.021102831965110456
0.252,0.061,3,0.20912063653290322,0.07741551797076773,0.557,0.2245689383377842,0.537,0.02174993213531728,0.021092650518475645
0.252,0.062,3,0.20828046093363828,0.07818282846064757,0.557,0.22711352531908288,0.5365,0.021750119298643494,0.02108250876340031
0.252,0.063,3,0.20745043108136044,0.07894238993483382,0.557,0.22963924715335976,0.536,0.021750333299679615,0.021072404424836426
0.252,0.064,3,0.20663010255859976,0.07969457329710473,0.557,0.23214634135914625,0.536,0.0217505720214841,0.021062335417247613
0.252,0.065,3,0.20581906684575452,0.08043971927061981,0.557,0.23463641385174416,0.5355,0.02175083351968301,0.02105229982346866
0.252,0.066,3,0.20501694741632198,0.08117814168440306,0.557,0.23711053008773772,0.535,0.021751116003643146,0.021042295876463463
0.252,0.067,3,0.20422339635350142,0.08191013032095741,0.557,0.2395694993345475,0.5345,0.021751417820162995,0.02103232194351449
0.252,0.068,3,0.20343809140638042,0.0826359533938599,0.557,0.24201406835141692,0.534,0.021751737439285827,0.021022376512462655
0.252,0.069,3,0.20266073341856708,0.08335585971184178,0.557,0.2444445553647589,0.534,0.021752073441910776,0.02101245817968489
0.252,0.06999999999999999,3,0.20189104407384437,0.08407008057601224,0.557,0.24686145525679098,0.5335,0.02175242450893376,0.021002565639551007
0.252,0.071,3,0.20112876391286258,0.08477883144892666,0.557,0.24926590828997341,0.533,0.021752789411696408,0.020992697675145635
0.252,0.072,3,0.20037365058250617,0.08548231342779682,0.557,0.2516584669906225,0.5325,0.021753167003557363,0.020982853150076277
0.252,0.073,3,0.19962547728577973,0.08618071454890795,0.557,0.2540396462558024,0.532,0.021753556212430865,0.020973031001217692
0.252,0.074,3,0.19888403140516767,0.08687421094600861,0.557,0.2564099267402311,0.5315,0.021753956034161918,0.020963230232266337
0.252,0.075,3,0.19814911327657136,0.08756296788194992,0.557,0.2587691319082917,0.5315,0.0217543655266275,0.02095344990799822
0.252,0.076,3,0.19742053509441126,0.08824714066991064,0.557,0.2611181558688636,0.531,0.021754783804470147,0.020943689149139487
