Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det,min_Re_Sigma_minus,min_Re_Sigma_plus
0.251,0.101,3,0.17823803112284242,0.10606995525089533,0.5545,0.3214621385830285,0.5155000000000001,0.021581022702628506,0.020529212513891885
0.251,0.10200000000000001,3,0.17765916031197193,0.10664660317648524,0.5545,0.3235539098894726,0.515,0.021581597395132164,0.020519965622152955
0.251,0.10300000000000001,3,0.1770833413052304,0.10722137550049254,0.5545,0.3256429624749229,0.5145,0.021582165524945095,0.020510722995128627
0.251,0.104,3,0.1765105397190091,0.10779429909336685,0.5545,0.32772935125168284,0.514,0.02158272693956327,0.02050148448265888
0.251,0.105,3,0.17594072203033795,0.10836540012335215,0.5545,0.32981312947225483,0.5135000000000001,0.02158328149044443,0.020492249938826028
0.251,0.106,3,0.17537385554106094,0.1089347040863067,0.5545,0.3318943488058886,0.513,0.02158382903284095,0.020483019221783284
0.251,0.107,3,0.1748099083440156,0.10950223583384287,0.5545,0.3339730594105733,0.5125,0.02158436942564222,0.020473792193592723
0.251,0.108,3,0.1742488492910858,0.11006800504257118,0.555,0.3360493100007802,0.512,0.02158490253122577,0.020464568720072105
0.251,0.109,3,0.17369064796300349,0.11063198297001259,0.555,0.3381230065713598,0.512,0.02158542821531676,0.020455348670649975
0.251,0.11,3,0.17313527464077133,0.1111942592462984,0.555,0.34019432479518746,0.5115000000000001,0.021585946346854977,0.020446131918228416
0.251,0.111,3,0.17258270027861536,0.11175485640649999,0.555,0.34226334157660315,0.511,0.02158645679786912,0.02043691833905305
0.251,0.112,3,0.17203289647835218,0.1123137964604372,0.555,0.3443301001872501,0.5105,0.02158695944335772,0.020427707812589718
0.251,0.11299999999999999,3,0.17148583546508836,0.11287110091284429,0.555,0.34639464274674436,0.51,0.021587454161176356,0.02041850022140745
0.251,0.11399999999999999,3,0.1709414900641697,0.11342679078248803,0.555,0.3484570102702133,0.5095000000000001,0.02158794083193068,0.020409295451067403
0.251,0.11499999999999999,3,0.17039983367928668,0.11398088662031984,0.555,0.35051724271327317,0.509,0.021588419338875012,0.02040009339001725
0.251,0.11599999999999999,3,0.16986084027168397,0.11453340852670027,0.555,0.35257537901456115,0.5085000000000001,0.02158888956781595,0.020390893929490766
0.251,0.11699999999999999,3,0.1693244843403921,0.11508437616777055,0.555,0.3546314571360163,0.508,0.021589351407020972,0.020381696963412355
0.251,0.118,3,0.16879074090342172,0.11563380879101688,0.555,0.35668551410104404,0.5075000000000001,0.02158980474713142,0.020372502388306023
0.251,0.119,3,0.1682595854798654,0.11618172524007687,0.555,0.3587375860306954,0.507,0.021590249481079817,0.020363310103208795
0.251,0.12,3,0.1677309940728519,0.1167281439688311,0.555,0.360787708177977,0.5065000000000001,0.021590685504011164,0.020354120009588066
0.251,0.121,3,0.16720494315329865,0.11727308305482859,0.555,0.3628359149604298,0.506,0.021591112713208013,0.020344932011262803
0.251,0.122,3,0.16668140964442407,0.11781656021207589,0.555,0.36488223999105174,0.5055000000000001,0.021591531008019058,0.020335746014328356
