Omega_over_gamma,Delta_over_gamma,gap_k1_over_gamma,gap_k2_over_gamma,gap_k3_over_gamma,gap_k4_over_gamma,winner_k_among_1_to_4
0.84,0.3,0.279228808234375,0.4330791190621035,0.5496902861912701,0.6382653251132251,1
0.84125,0.3,0.27914685740460465,0.43333915451876126,0.5499852485598141,0.6386265424409913,1
0.8425,0.3,0.27906525553861905,0.43359860275667184,0.5502795290197985,0.6389873077142743,1
0.84375,0.3,0.27898400059868955,0.43385746140007403,0.5505731309312626,0.6393476225454006,1
0.845,0.3,0.27890309056251694,0.43411572811046406,0.5508660576401563,0.639707488529122,1
0.8462500000000001,0.3,0.27882252342308167,0.43437340058651475,0.5511583124782047,0.6400669072428034,1
0.8475,0.3,0.2787422971885038,0.43463047656399656,0.5514498987628182,0.6404258802465744,1
0.84875,0.3,0.2786624098818999,0.43488695381568365,0.5517408197969955,0.6407844090835505,1
0.85,0.3,0.27858285954124273,0.4351428301512739,0.5520310788692067,0.6411424952799771,1
0.8512500000000001,0.3,0.27850364421922386,0.4353981034172896,0.5523206792533214,0.641500140345455,1
0.8525,0.3,0.2784247619831144,0.43565277149698234,0.5526096242084994,0.6418573457730573,1
0.85375,0.3,0.27834621091463246,0.43590683231024097,0.552897916979121,0.6422141130395659,1
0.855,0.3,0.27826798910980544,0.4361602838134849,0.553185560794694,0.6425704436056068,1
0.8562500000000001,0.3,0.2781900946788414,0.4364131239995654,0.5534725588697759,0.6429263389158434,1
0.8575,0.3,0.27811252574599443,0.4366653508976597,0.5537589144039017,0.6432818003991357,1
0.85875,0.3,0.27803528044943654,0.4369169625731568,0.5540446305815152,0.6436368294687365,1
0.86,0.3,0.27795835694113036,0.43716795712755596,0.5543297105718953,0.6439914275224258,1
0.8612500000000001,0.3,0.277881753386701,0.4374183326983436,0.5546141575290852,0.6443455959427157,1
0.8625,0.3,0.27780546796531047,0.4376680874588821,0.5548979745918462,0.6446993360969795,1
0.86375,0.3,0.277729498869535,0.4379172196182921,0.5551811648835859,0.6450526493376666,1
0.865,0.3,0.27765384430524076,0.43816572742132687,0.5554637315123093,0.6454055370024193,1
0.86625,0.3,0.2775785024914633,0.4384136091482484,0.5557456775705659,0.6457580004142627,1
0.8675,0.3,0.2775034716602879,0.43866086311471203,0.5560270061353985,0.6461100408817753,1
0.86875,0.3,0.27742875005673046,0.43890748767162213,0.5563077202682974,0.6464616596992084,1
0.87,0.3,0.277354335938619,0.43915348120500286,0.5565878230151629,0.6468128581467077,1
0.87125,0.3,0.2772802275764791,0.43939884213587915,0.5568673174062545,0.6471636374904154,1
0.8725,0.3,0.27720642325341954,0.43964356892012457,0.5571462064561599,0.6475139989826525,1
0.87375,0.3,0.27713292126501543,0.4398876600483297,0.5574244931637669,0.6478639438620896,1
0.875,0.3,0.27705971991919853,0.4401311140456629,0.5577021805122208,0.6482134733538588,1
0.87625,0.3,0.27698681753614685,0.4403739294717226,0.557979271468899,0.6485625886697576,1
0.8775000000000001,0.3,0.2769142124481704,0.4406161049203923,0.5582557689853813,0.6489112910083542,1
0.87875,0.3,0.2768419029996082,0.4408576390197023,0.5585316759974414,0.6492595815551793,1
0.88,0.3,0.27676988754671483,0.44109853043166636,0.5588069954249949,0.6496074614828471,1
0.88125,0.3,0.27669816445755735,0.44133877785213677,0.5590817301721228,0.6499549319512188,1
0.8825000000000001,0.3,0.2766267321119104,0.4415783800106543,0.5593558831270082,0.6503019941075393,1
0.88375,0.3,0.27655558890114884,0.4418173356702788,0.5596294571619581,0.6506486490865798,1
0.885,0.3,0.27648473322814743,0.44205564362745164,0.5599024551333793,0.6509948980108123,1
0.88625,0.3,0.2764141635071775,0.4422933027118115,0.5601748798817618,0.6513407419905156,1
0.8875000000000001,0.3,0.27634387816380657,0.4425303117860528,0.5604467342316888,0.6516861821239489,1
0.88875,0.3,0.276273875634798,0.442766669745747,0.5607180209918139,0.6520312194974401,1
0.89,0.3,0.2762041543680122,0.4430023755191839,0.5609887429548621,0.6523758551856036,1
0.89125,0.3,0.27613471282230906,0.4432374280672058,0.5612589028976399,0.6527200902514199,1
0.8925000000000001,0.3,0.27606554946745077,0.44347182638302485,0.561528503581027,0.6530639257463866,1
0.89375,0.3,0.27599666278400775,0.44370556949206974,0.5617975477499831,0.6534073627106686,1
0.895,0.3,0.27592805126326037,0.44393865645179176,0.5620660381335473,0.6537504021732118,1
