Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.2601,0.077,0.236683853926905,0.057831394567968215,0.5812499999999999,0.17439078087182996,0.575
0.2601,0.0771,0.2364850276013072,0.058006223697831545,0.5812499999999999,0.17498122660207363,0.575
0.2601,0.07719999999999999,0.23628751645710916,0.05817995369779773,0.5812499999999999,0.17556842509828718,0.575
0.2601,0.0773,0.23609129605457352,0.05835260509802708,0.5812499999999999,0.176152437369705,0.575
0.2601,0.0774,0.23589634268142642,0.058524197817891324,0.5812499999999999,0.17673332261887476,0.575
0.2601,0.0775,0.2357026333232261,0.05869475119084373,0.5812499999999999,0.17731113831499734,0.575
0.2601,0.0776,0.235510145635265,0.05886428398800244,0.5812499999999999,0.177885940263477,0.575
0.2601,0.07769999999999999,0.23531885791590207,0.05903281444053444,0.5812499999999999,0.17845778267194004,0.575
0.2601,0.0778,0.23512874908123407,0.059200360260914395,0.5812499999999999,0.17902671821294913,0.575
0.2601,0.0779,0.23493979864103226,0.05936693866312271,0.5812499999999999,0.17959279808358997,0.575
0.2601,0.078,0.23475198667586508,0.05953256638184815,0.5812499999999999,0.1801560720621293,0.575
0.2601,0.0781,0.23456529381533958,0.05969725969075157,0.5812499999999999,0.1807165885619073,0.575
0.2601,0.07819999999999999,0.23437970121738697,0.05986103441985315,0.5812499999999999,0.1812743946826526,0.575
0.2601,0.0783,0.23419519054854115,0.060023905972086775,0.5812499999999999,0.18182953625934142,0.575
0.2601,0.0784,0.23401174396515034,0.060185889339071444,0.5812499999999999,0.18238205790875206,0.575
0.2601,0.0785,0.23382934409546158,0.06034699911614962,0.5812499999999999,0.18293200307386193,0.575
0.2601,0.0786,0.233647974022547,0.060507249516719055,0.5812499999999999,0.1834794140661609,0.575
0.2601,0.07869999999999999,0.23346761726799242,0.06066665438592655,0.5812499999999999,0.18402433210608657,0.575
0.2601,0.0788,0.23328825777634932,0.06082522721371825,0.5812499999999999,0.18456679736156403,0.575
