Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.26,0.0887,0.2183701325020455,0.07413790794555038,0.58095,0.23142551036361825,0.575
0.26,0.08879999999999999,0.2182484108406762,0.07424864370300603,0.58095,0.23182820113591648,0.575
0.26,0.08889999999999999,0.2181270077191596,0.07435911788632929,0.58095,0.23223014355877591,0.575
0.26,0.089,0.21800592067206553,0.07446933256823199,0.58095,0.23263134386320997,0.575
0.26,0.0891,0.21788514726514785,0.07457928979520591,0.58095,0.2330318082017209,0.575
0.26,0.0892,0.21776468509480387,0.07468899158797858,0.58095,0.23343154264965518,0.575
0.26,0.08929999999999999,0.2176445317875469,0.07479843994195472,0.58095,0.2338305532065257,0.575
0.26,0.0894,0.21752468499949174,0.07490763641000395,0.581,0.23422884579730197,0.575
0.26,0.0895,0.21740514241584669,0.07501658332160516,0.581,0.23462642627368538,0.575
0.26,0.0896,0.21728590175042334,0.07512528262975643,0.581,0.23502330041533656,0.575
0.26,0.0897,0.21716696074514996,0.07523373623284767,0.581,0.23541947393109725,0.575
0.26,0.08979999999999999,0.21704831716959944,0.07534194600602417,0.581,0.23581495246017517,0.575
0.26,0.0899,0.21692996882052673,0.07544991380157483,0.581,0.23620974157330288,0.575
0.26,0.09,0.21681191352141593,0.07555764144931242,0.581,0.2366038467738748,0.575
0.2601,0.074,0.2434231178138043,0.0519385784051748,0.5812999999999999,0.15476142172216892,0.575
0.2601,0.0741,0.24316797846321825,0.05216054074439664,0.5812999999999999,0.15549127459951612,0.575
0.2601,0.0742,0.24291548108328226,0.05238028971681551,0.5812999999999999,0.15621457884823686,0.575
0.2601,0.07429999999999999,0.24266555050885663,0.05259788843088188,0.5812999999999999,0.15693152106957467,0.575
0.2601,0.0744,0.24241811498904475,0.05281339712970664,0.5812999999999999,0.15764227942695755,0.575
0.2601,0.0745,0.2421731059756414,0.05302687336855642,0.5812999999999999,0.15834702416736143,0.575
