side,Omega_center,Delta_center,box_status,passed,sigma_minus_diff
1,0.2648925,0.076940939104259,certified_box,True,0.022386690094221545
2,0.2648925,0.077000939104259,certified_box,True,0.022355442504761524
1,0.264895,0.0769425592896342,certified_box,True,0.02238706972757058
2,0.264895,0.0770025592896342,certified_box,True,0.022355823284170896
1,0.2648975,0.076944179495871,certified_box,True,0.022387450844645468
2,0.2648975,0.077004179495871,certified_box,True,0.022356205547662763
1,0.2649,0.0769457997259497,certified_box,True,0.022387833442501028
2,0.2649,0.0770057997259497,certified_box,True,0.022356589294914256
1,0.2649025,0.0769474199783802,certified_box,True,0.022388217522490202
2,0.2649025,0.0770074199783802,certified_box,True,0.02235697452596364
1,0.264905,0.0769490402531623,certified_box,True,0.022388603084531254
2,0.264905,0.0770090402531623,certified_box,True,0.02235736124072943
1,0.2649075,0.0769506605517864,certified_box,True,0.022388990127111028
2,0.2649075,0.0770106605517864,certified_box,True,0.02235774943901041
1,0.26491,0.0769522808712721,certified_box,True,0.02238937865301167
2,0.26491,0.0770122808712721,certified_box,True,0.022358139120964224
1,0.2649125,0.0769539012145996,certified_box,True,0.022389768659287084
2,0.2649125,0.0770139012145996,certified_box,True,0.022358530286267053
1,0.264915,0.0769555215802788,certified_box,True,0.0223901601472886
2,0.264915,0.0770155215802788,certified_box,True,0.022358922934957805
1,0.2649175,0.0769571419698,certified_box,True,0.022390553115499666
2,0.2649175,0.0770171419698,certified_box,True,0.022359317066830496
1,0.26492,0.0769587623801827,certified_box,True,0.022390947566703946
2,0.26492,0.0770187623801827,certified_box,True,0.022359712682046246
1,0.2649225,0.0769603828144073,certified_box,True,0.022391343497951622
2,0.2649225,0.0770203828144073,certified_box,True,0.022360109780278213
1,0.264925,0.0769620032709836,certified_box,True,0.0223917409105937
2,0.264925,0.0770220032709836,certified_box,True,0.022360508361563516
1,0.2649275,0.0769636237484216,certified_box,True,0.022392139805977672
2,0.2649275,0.0770236237484216,certified_box,True,0.022360908425937617
1,0.26493,0.0769652442511915,certified_box,True,0.022392540179724172
2,0.26493,0.0770252442511915,certified_box,True,0.02236130997295499
1,0.2649325,0.0769668647748232,certified_box,True,0.022392942036044482
2,0.2649325,0.0770268647748232,certified_box,True,0.022361713002892344
1,0.264935,0.0769684853222966,certified_box,True,0.022393345371991863
2,0.264935,0.0770284853222966,certified_box,True,0.02236211751542416
1,0.2649375,0.0769701058921217,certified_box,True,0.022393750188911585
2,0.2649375,0.0770301058921217,certified_box,True,0.022362523510585
1,0.26494,0.0769717264842987,certified_box,True,0.022394156486720256
2,0.26494,0.0770317264842987,certified_box,True,0.022362930988289568
1,0.2649425,0.0769733470988273,certified_box,True,0.02239456426533136
2,0.2649425,0.0770333470988273,certified_box,True,0.022363339948451275
1,0.264945,0.0769749677371978,certified_box,True,0.02239497352322896
2,0.264945,0.0770349677371979,certified_box,True,0.02236375039086445
1,0.2649475,0.0769765883979201,certified_box,True,0.02239538426175811
2,0.2649475,0.0770365883979201,certified_box,True,0.022364162315563145
1,0.26495,0.0769782090809941,certified_box,True,0.02239579648083335
2,0.26495,0.0770382090809941,certified_box,True,0.022364575722459652
1,0.2649525,0.0769798297864199,certified_box,True,0.022396210180367675
2,0.2649525,0.0770398297864199,certified_box,True,0.022364990611467253
1,0.264955,0.0769814505141973,certified_box,True,0.022396625360275105
2,0.264955,0.0770414505141973,certified_box,True,0.02236540698249922
1,0.2649575,0.0769830712658166,certified_box,True,0.02239704201903761
2,0.2649575,0.0770430712658166,certified_box,True,0.02236582483534721
1,0.26496,0.0769846920397877,certified_box,True,0.022397460157999288
2,0.26496,0.0770446920397877,certified_box,True,0.022366244170043886
1,0.2649625,0.0769863128361106,certified_box,True,0.02239787977707083
2,0.2649625,0.0770463128361106,certified_box,True,0.022366664986500275
1,0.264965,0.0769879336547851,certified_box,True,0.02239830087616808
2,0.264965,0.0770479336547851,certified_box,True,0.02236708728462922
1,0.2649675,0.0769895544958114,certified_box,True,0.022398723455199842
2,0.2649675,0.0770495544958114,certified_box,True,0.022367511064342427
1,0.26497,0.0769911753606796,certified_box,True,0.022399147512648272
2,0.26497,0.0770511753606796,certified_box,True,0.02236793632542849
1,0.2649725,0.0769927962478995,certified_box,True,0.022399573049856396
2,0.2649725,0.0770527962478995,certified_box,True,0.022368363067919724
1,0.264975,0.0769944171574712,certified_box,True,0.02240000006673378
2,0.264975,0.0770544171574712,certified_box,True,0.022368791291727586
1,0.2649775,0.0769960380893945,certified_box,True,0.022400428563192968
2,0.2649775,0.0770560380893946,certified_box,True,0.02236922099676122
1,0.26498,0.0769976590451598,certified_box,True,0.022400858537712676
