k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,param_pert,higher_rank_margin,passed
111,0.2900000000000001,0.3000000000000001,0.09000000000000001,0.1,0.27750598991927433,35.10128202786908,1.1600000000000004,36.261282027869086,1.4866841597793676,1.4367374903194932,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.2900000000000001,0.3000000000000001,0.1,0.11000000000000001,0.2862158898174506,35.467930585248446,1.160000000000001,36.62793058524845,1.4791315325111225,1.4292297197246815,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.2900000000000001,0.3000000000000001,0.11000000000000001,0.12000000000000001,0.28899016336989897,35.86519761551577,1.1600000000000004,37.02519761551577,1.4771201027281737,1.4272209145670995,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3000000000000001,0.3100000000000001,0.05,0.060000000000000005,0.2567941827173406,35.04859055654032,1.1600000000000006,36.20859055654032,1.5331899027494567,1.4833158110737807,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.3000000000000001,0.3100000000000001,0.060000000000000005,0.07,0.2599876407222379,35.27635185219694,1.1600000000000006,36.43635185219694,1.5308745304040312,1.480961719647596,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.3000000000000001,0.3100000000000001,0.07,0.08000000000000002,0.2639472650276006,35.53733951775234,1.160000000000001,36.69733951775235,1.5271849657127339,1.4771885903479491,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.3000000000000001,0.3100000000000001,0.08000000000000002,0.09000000000000001,0.2687979941811272,35.83082750928315,1.1600000000000004,36.99082750928315,1.5232023375742467,1.473214732831973,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3000000000000001,0.3100000000000001,0.09000000000000001,0.1,0.2747172778390305,36.156024394283186,1.1600000000000004,37.31602439428319,1.518685087302121,1.4687973541546848,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3000000000000001,0.3100000000000001,0.1,0.11000000000000001,0.2819582458305533,36.512082931544796,1.160000000000001,37.6720829315448,1.5123726620463631,1.4624096873360908,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.3000000000000001,0.3100000000000001,0.11000000000000001,0.12000000000000001,0.28995353357695,36.898109707680206,1.1600000000000004,38.05810970768021,1.5058597370919597,1.455914711228864,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3100000000000001,0.3200000000000001,0.05,0.060000000000000005,0.2563304028825375,36.13898172334149,1.1600000000000006,37.29898172334149,1.5627355784350774,1.5127369434171951,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.3100000000000001,0.3200000000000001,0.060000000000000005,0.07,0.2592714296324594,36.359913366233556,1.1600000000000006,37.51991336623356,1.56054616479417,1.5106526629773696,1.1600000000000006,1.1600000000000006,1.1100000000000005,0.050000000000000044,True
111,0.3100000000000001,0.3200000000000001,0.07,0.08000000000000002,0.2628838732234723,36.61317795548491,1.160000000000001,37.77317795548491,1.5572691617119578,1.5073046406068191,1.160000000000001,1.160000000000001,1.110000000000001,0.050000000000000044,True
111,0.3100000000000001,0.3200000000000001,0.08000000000000002,0.09000000000000001,0.2672529625303431,36.89810970768025,1.1600000000000004,38.05810970768025,1.55372565049211,1.5037806246290142,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
111,0.3100000000000001,0.3200000000000001,0.09000000000000001,0.1,0.2724921417405669,37.21398124361326,1.1600000000000004,38.373981243613265,1.5494604561190417,1.499494334708088,1.1600000000000004,1.1600000000000004,1.1100000000000003,0.050000000000000044,True
