Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,alpha_over_gamma,winner_k,gap2_minus_gap1
0.2648,0.08365,0.26364441414565637,0.28095291850132115,0.26364441414565637,1,0.017308504355664778
0.2648,0.08370000000000001,0.2633822860805768,0.28096321878559494,0.2633822860805768,1,0.01758093270501815
0.2648,0.08375,0.26312387333488985,0.2809735254767294,0.26312387333488985,1,0.017849652141839534
0.2648,0.0838,0.26286903838540504,0.28098383857509035,0.26286903838540504,1,0.01811480018968531
0.2648,0.08385000000000001,0.262617651835251,0.2809941580810455,0.262617651835251,1,0.01837650624579451
0.2648,0.0839,0.2623695917605503,0.2810044839949612,0.2623695917605503,1,0.018634892234410894
0.2648,0.08395000000000001,0.2621247431229537,0.2810148163172042,0.2621247431229537,1,0.018890073194250512
0.2648,0.084,0.26188299724014985,0.2810251550481413,0.26188299724014985,1,0.019142157807991445
0.2648,0.08405,0.2616442513074748,0.28103550018813944,0.2616442513074748,1,0.019391248880664624
0.2648,0.08410000000000001,0.26140840796474957,0.28104585173756486,0.26140840796474957,1,0.01963744377281529
0.2648,0.08415,0.2611753749032329,0.28105620969678263,0.2611753749032329,1,0.01988083479354974
0.2648,0.08420000000000001,0.2609450645082044,0.2810665740661602,0.2609450645082044,1,0.020121509557955775
0.2648,0.08425,0.2607173935334003,0.28107694484606455,0.2607173935334003,1,0.02035955131266426
0.2648,0.0843,0.2604922828037989,0.28108732203686065,0.2604922828037989,1,0.020595039233061774
0.2648,0.08435000000000001,0.26026965694387866,0.28109770563891506,0.26026965694387866,1,0.020828048695036405
0.2648,0.0844,0.26004944412868713,0.281108095652593,0.26004944412868713,1,0.021058651523905847
0.2648,0.08445000000000001,0.2598315758554546,0.2811184920782618,0.2598315758554546,1,0.021286916222807206
0.2648,0.0845,0.2596159867337034,0.2811288949162867,0.2596159867337034,1,0.02151290818258328
0.2648,0.08455,0.25940261429206424,0.28113930416703303,0.25940261429206424,1,0.021736689874968795
0.2648,0.08460000000000001,0.2591913988001981,0.2811497198308673,0.2591913988001981,1,0.021958321030669192
0.2648,0.08465,0.2589822831044068,0.28116014190815436,0.2589822831044068,1,0.022177858803747563
0.2648,0.08470000000000001,0.25877521247569124,0.2811705703992587,0.25877521247569124,1,0.02239535792356745
0.2648,0.08475,0.25857013446907706,0.2811810053045483,0.25857013446907706,1,0.022610870835471253
0.2648,0.0848,0.25836699879326774,0.28119144662438694,0.25836699879326774,1,0.0228244478311192
0.2648,0.08485000000000001,0.25816575718965384,0.2812018943591396,0.25816575718965384,1,0.02303613716948577
0.2648,0.0849,0.2579663633199205,0.2812123485091734,0.2579663633199205,1,0.023245985189252916
0.2648,0.08495000000000001,0.2577687726614844,0.28122280907485103,0.2577687726614844,1,0.02345403641336663
0.2648,0.085,0.25757294241012235,0.2812332760565379,0.25757294241012235,1,0.023660333646415566
0.2648,0.08505,0.25737883138919637,0.28124374945460034,0.25737883138919637,1,0.023864918065403973
0.2648,0.08510000000000001,0.25718639996492854,0.2812542292694015,0.25718639996492854,1,0.024067829304472987
0.2648,0.08515,0.2569956099672507,0.2812647155013074,0.2569956099672507,1,0.0242691055340567
0.2648,0.08520000000000001,0.2568064246157826,0.28127520815068197,0.2568064246157826,1,0.02446878353489934
0.2648,0.08525,0.2566188084505427,0.281285707217889,0.2566188084505427,1,0.02466689876734629
0.2648,0.0853,0.2564327272670115,0.2812962127032953,0.2564327272670115,1,0.024863485436283805
0.2648,0.08535000000000001,0.2562481480552559,0.28130672460726347,0.2562481480552559,1,0.02505857655200755
0.2648,0.0854,0.25606503894276045,0.28131724293015664,0.25606503894276045,1,0.025252203987396193
0.2648,0.08545000000000001,0.2558833691407225,0.2813277676723423,0.2558833691407225,1,0.025444398531619783
0.2648,0.0855,0.2557031088935808,0.28133829883418154,0.2557031088935808,1,0.025635189940600767
0.26485,0.0825,0.27246300590947803,0.28072270493277746,0.27246300590947803,1,0.008259699023299427
0.26485,0.08255,0.2719972417485417,0.28073285388213803,0.2719972417485417,1,0.00873561213359636
0.26485,0.0826,0.2715484053288906,0.280743009226916,0.2715484053288906,1,0.0091946038980254
0.26485,0.08265,0.2711149198870545,0.28075317096747965,0.2711149198870545,1,0.009638251080425153
0.26485,0.08270000000000001,0.27069543698366194,0.28076333910419415,0.27069543698366194,1,0.010067902120532213
0.26485,0.08275,0.2702887928358145,0.2807735136374298,0.2702887928358145,1,0.010484720801615333
0.26485,0.0828,0.26989397482549315,0.28078369456755164,0.26989397482549315,1,0.01088971974205849
