winner_side,Omega_center,Delta_center,alpha_center,y_center,sigma_center,worst_sigma,max_diff,sigma_minus_diff,passed,box_status
1,0.26585,0.08535000000000004,0.27087494620666236,0.5985,0.031500432610995645,0.03035419652327562,0.0016867754525484284,0.029813657158447218,True,certified_box
1,0.26585,0.08545000000000004,0.2701611926753651,0.5985,0.03210757262082602,0.031012523893149676,0.001637396407371264,0.03047017621345476,True,certified_box
1,0.26585,0.08555000000000004,0.26947817656177164,0.5985,0.03268898780083847,0.031639157131228814,0.0015944567068975199,0.031094531093940947,True,certified_box
2,0.26594999999999996,0.08385,0.28110574217326106,0.599,0.02282994448066828,0.02281419976879311,0.0009788885276425876,0.021851055953025694,True,certified_box
2,0.26594999999999996,0.08395,0.2811262104914884,0.599,0.022821120250390896,0.0228053990212797,0.0009788891081008928,0.021842231142290003,True,certified_box
2,0.26594999999999996,0.08405,0.28114670417032833,0.599,0.02281228618863931,0.02279658662939352,0.0009788896891453319,0.02183339649949398,True,certified_box
2,0.26594999999999996,0.08415,0.28116722321255627,0.599,0.022803442299910937,0.0227877644678726,0.0009788902707768405,0.021824552029134095,True,certified_box
2,0.26594999999999996,0.08425,0.2811877676209444,0.599,0.022794588588725677,0.02277893254135537,0.0009788908529964426,0.021815697735729233,True,certified_box
2,0.26594999999999996,0.08435000000000001,0.28120833739826584,0.599,0.02278572505962143,0.022770090854504633,0.0009788914358047946,0.021806833623816635,True,certified_box
2,0.26594999999999996,0.08445000000000001,,,,,,,False,crosses_boundary
2,0.26594999999999996,0.08455000000000001,,,,,,,False,crosses_boundary
1,0.26594999999999996,0.08465000000000002,,,,,,,False,crosses_boundary
1,0.26594999999999996,0.08475000000000002,,,,,,,False,crosses_boundary
1,0.26594999999999996,0.08485000000000002,0.2778706348922345,0.599,0.02562366911170286,0.02362625101508625,0.0025826593731739793,0.02304100973852888,True,certified_box
1,0.26594999999999996,0.08495000000000003,0.27670181223805995,0.599,0.026611563904111308,0.024838452175923967,0.0023367621899435982,0.02427480171416771,True,certified_box
1,0.26594999999999996,0.08505000000000003,0.2756405489999369,0.599,0.027509484558283896,0.025900614415989325,0.0021600973571427136,0.02534938720114118,True,certified_box
1,0.26594999999999996,0.08515000000000003,0.2746635826476587,0.599,0.02833688435003482,0.026854998635348744,0.002025995277731701,0.02631088907230312,True,certified_box
1,0.26594999999999996,0.08525000000000003,0.2737549351667046,0.599,0.029107125629746673,0.027727225959057702,0.0019202131570661585,0.027186912472680513,True,certified_box
1,0.26594999999999996,0.08535000000000004,0.27290307600337166,0.599,0.029829851879329194,0.02853418884861889,0.0018343582674752769,0.027995493611853918,True,certified_box
1,0.26594999999999996,0.08545000000000004,0.272099364074557,0.599,0.03051229038135115,0.029287721843053276,0.0017631240729006378,0.02874916630845051,True,certified_box
1,0.26594999999999996,0.08555000000000004,0.2713371277795671,0.5985,0.031159976643879733,0.029996493964841234,0.0017029713444170968,0.029457005299462637,True,certified_box
2,0.26604999999999995,0.08385,0.281115529112858,0.599,0.022850654370801506,0.02283553831152917,0.000978887202514212,0.021871767168287294,True,certified_box
2,0.26604999999999995,0.08395,0.2811359810621759,0.599,0.022841890011069742,0.022826757956180846,0.0009788877826748012,0.02186300222839494,True,certified_box
2,0.26604999999999995,0.08405,0.2811564583485353,0.599,0.022833115932076098,0.022817967864807262,0.0009788883634201265,0.02185422756865597,True,certified_box
2,0.26604999999999995,0.08415,0.28117696097469747,0.599,0.022824332138500467,0.022809168042075785,0.0009788889447511697,0.021845443193749297,True,certified_box
2,0.26604999999999995,0.08425,0.28119748894342367,0.599,0.022815538635041304,0.02280035563091179,0.0009788895266687923,0.021836649108372512,True,certified_box
2,0.26604999999999995,0.08435000000000001,0.28121804225747044,0.599,0.02280673542642141,0.022791517303554724,0.000978890109173814,0.021827845317247595,True,certified_box
2,0.26604999999999995,0.08445000000000001,0.28123862091959634,0.599,0.02279792251738184,0.02278266922154327,0.0009788906922673615,0.02181903182511448,True,certified_box
2,0.26604999999999995,0.08455000000000001,0.2812592249325556,0.599,0.02278909991268682,0.022773811389559896,0.0009788912759500503,0.02181020863673677,True,certified_box
2,0.26604999999999995,0.08465000000000002,0.2812798542991044,0.599,0.022780267617118762,0.022764943812306884,0.000978891860222946,0.021801375756895815,True,certified_box
2,0.26604999999999995,0.08475000000000002,,,,,,,False,crosses_boundary
2,0.26604999999999995,0.08485000000000002,,,,,,,False,crosses_boundary
1,0.26604999999999995,0.08495000000000003,,,,,,,False,crosses_boundary
