Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_abs_Fk_on_boundary,y_at_min_abs_Fk,min_Re_Fk_on_boundary,y_at_min_Re_Fk,min_Re_Sigma_minus,y_at_min_Re_Sigma_minus,min_Re_Sigma_plus,y_at_min_Re_Sigma_plus,min_Re_R_minus_1,min_Re_R_plus_1
0.25,0.16,5,0.14683284789843098,0.40076904048508694,0.975,-0.1368435359536086,6.0,0.033196926938134655,6.0,0.026936243629805828,6.0,0.37818194293469787,0.3723069069111927
0.25,0.16,6,0.14683284789843098,0.4743763260005152,1.185,-0.13235408218552094,6.0,0.049958758599986816,6.0,0.04055241182529871,6.0,0.3886694208148254,0.3808346032587558
0.25,0.16,7,0.14683284789843098,0.5493514636726217,1.395,-0.12672901774256382,6.0,0.06964913639110705,6.0,0.05656156773358051,6.0,0.4012586642430314,0.3910351007387632
0.25,0.16,8,0.14683284789843098,0.6241208256112795,1.6199999999999999,-0.11975726328373593,6.0,0.09232726328515171,6.0,0.07501949715022198,6.0,0.41611862828835633,0.4030296242203599
0.25,0.16,9,0.14683284789843098,0.6977386790607473,1.845,-0.11117221075244087,6.0,0.11805858808533928,6.0,0.09598900003703803,6.0,0.43344597725495587,0.4169602567221473
0.25,0.16,10,0.14683284789843098,0.7697571069544749,2.07,-0.10063933635334114,6.0,0.14691390277067579,6.0,0.11953946707101096,6.0,0.4534660540239124,0.43299121354607595
0.25,0.16,11,0.14683284789843098,0.8401429682693007,2.295,-0.08774079072500585,6.0,0.17896832124463496,6.0,0.14574637955510358,6.0,0.4764336456419315,0.4513101641124576
0.25,0.16,12,0.14683284789843098,0.9090352231048973,2.52,-0.07195641277443944,6.0,0.21430014175210652,6.0,0.17469072616166578,6.0,0.5026334030443693,0.4721295430572082
0.25,0.16999999999999998,3,0.1426118025016259,0.2734531287559386,0.5549999999999999,-0.1387728231202693,6.0,0.008315299321281685,6.0,0.00665676335516547,6.0,0.36727067021809223,0.36407695626962233
0.25,0.16999999999999998,4,0.1426118025016259,0.33888004570156616,0.765,-0.1360651613385433,6.0,0.019445338418750947,6.0,0.015570843652272057,6.0,0.37401150049772913,0.3695229203522231
0.25,0.16999999999999998,5,0.1426118025016259,0.4089478561713078,0.975,-0.13250595108778723,6.0,0.033426289773630234,6.0,0.026774902886194316,6.0,0.38261079775604395,0.3764503850086469
0.25,0.16999999999999998,6,0.1426118025016259,0.4825815172727743,1.185,-0.12796699748307375,6.0,0.05030253692225933,6.0,0.040309449832502835,6.0,0.3931864536566734,0.38494140265631366
0.25,0.16999999999999998,7,0.1426118025016259,0.5576861250890716,1.395,-0.12228197037109399,6.0,0.07012611294443558,6.0,0.056222615606171526,6.0,0.4058821821088183,0.3950964476193273
0.25,0.16999999999999998,8,0.1426118025016259,0.6326405949966416,1.6199999999999999,-0.11523864072596478,6.0,0.092956021051055,6.0,0.07456987276654711,6.0,0.4208685525987999,0.4070354638408958
0.25,0.16999999999999998,9,0.1426118025016259,0.7064668060439416,1.845,-0.10656899677952104,6.0,0.11885743571971882,6.0,0.09541369218080144,6.0,0.4383440215231663,0.4208990378626225
0.25,0.16999999999999998,10,0.1426118025016259,0.7786915078060618,2.07,-0.095936825692763,6.0,0.14790078377317822,6.0,0.11882313134864207,6.0,0.45853586548811065,0.43684966532601044
0.25,0.16999999999999998,11,0.1426118025016259,0.8492703422104189,2.295,-0.08292227525243345,6.0,0.1801607062411525,6.0,0.14487334761197443,6.0,0.4817008971009191,0.4550730681506847
0.25,0.16999999999999998,12,0.1426118025016259,0.9183392085981421,2.52,-0.06700284857146527,6.0,0.21571490381549221,6.0,0.17364502966842557,6.0,0.5081258181579397,0.4757795057720329
0.25,0.18,3,0.13855468553620018,0.2816722605594442,0.5549999999999999,-0.13467191055476563,6.0,0.008373000963089615,6.0,0.006616933472571956,6.0,0.37140876752491425,0.3681073498231438
0.25,0.18,4,0.13855468553620018,0.3470100109646297,0.765,-0.131934185104312,6.0,0.01957991547923935,6.0,0.015477654056816972,6.0,0.3782052142277146,0.37353093469619575
0.25,0.18,5,0.13855468553620018,0.4169370963724557,0.975,-0.1283363850877577,6.0,0.033656849232565435,6.0,0.026614614973976856,6.0,0.3868758572694294,0.3804291599695807
0.25,0.18,6,0.13855468553620018,0.4905800164609491,1.185,-0.1237495901227068,6.0,0.050648083515240416,6.0,0.04006807442505305,6.0,0.39753979050918586,0.3888832120512405
0.25,0.18,7,0.13855468553620018,0.5658045333164533,1.395,-0.1180065471190442,6.0,0.07060550177674012,6.0,0.05588587817831244,6.0,0.4103421506721719,0.3989925051205267
0.25,0.18,8,0.13855468553620018,0.64094118810554,1.6199999999999999,-0.11089387839049905,6.0,0.09358789646455637,6.0,0.07412318719175352,6.0,0.4254551332026455,0.4108757194675173
0.25,0.18,9,0.13855468553620018,0.7149748789548319,1.845,-0.10214216612185748,6.0,0.11966015494450744,6.0,0.09484214450571962,6.0,0.443078997575149,0.42467196545271385
0.25,0.18,10,0.13855468553620018,0.7874053382495072,2.07,-0.09141350109456144,6.0,0.14889232430631694,6.0,0.11811147511682295,6.0,0.4634429634297751,0.4405420424502536
0.25,0.18,11,0.13855468553620018,0.8581762651272253,2.295,-0.0782860140028779,6.0,0.18135855637920523,6.0,0.14400601224249207,6.0,0.48680587519296425,0.4586697513464724
0.25,0.18,12,0.13855468553620018,0.9274202949923561,2.52,-0.06223484893705865,6.0,0.2171359363242946,6.0,0.17260614334890473,6.0,0.5134564871057005,0.4792632057510863
0.25,0.19,3,0.13465257445970313,0.28975887970126585,0.5549999999999999,-0.1307275340253771,6.0,0.008431016827333326,6.0,0.006577365856583212,6.0,0.3753919301154967,0.37198247712367755
