Omega_over_gamma,Delta_over_gamma,winner_k,global_gap_over_gamma
0.37166666666666665,0.05,1,0.25459122650079613
0.3736111111111111,0.05,1,0.2545412773021705
0.37555555555555553,0.05,1,0.2544921850999355
0.37749999999999995,0.05,1,0.2544439288649502
0.3794444444444445,0.05,1,0.2543964882667075
0.3813888888888889,0.05,1,0.2543498436432817
0.3833333333333333,0.05,1,0.2543039759728871
0.3852777777777778,0.05,1,0.2542588668469352
0.38722222222222225,0.05,1,0.2542144984445003
0.38916666666666666,0.05,1,0.25417085350810487
0.3911111111111111,0.05,1,0.2541279153207426
0.39305555555555555,0.05,1,0.2540856676840613
0.395,0.05,1,0.2540440948976411
0.39694444444444443,0.05,1,0.2540031817392953
0.39888888888888885,0.05,1,0.25396291344633865
0.4008333333333334,0.05,1,0.2539232756977646
0.4027777777777778,0.05,1,0.2538842545972757
0.4047222222222222,0.05,1,0.253845836657125
0.4066666666666666,0.05,1,0.2538080087827149
0.40861111111111115,0.05,1,0.25377075825791623
0.41055555555555556,0.05,1,0.2537340727310615
0.4125,0.05,1,0.25369794020158465
0.4144444444444444,0.05,1,0.25366234900726065
0.4163888888888889,0.05,1,0.253627287812021
0.41833333333333333,0.05,1,0.2535927455943087
0.42027777777777775,0.05,1,0.25355871163594795
0.42222222222222217,0.05,1,0.2535251755115002
0.4241666666666667,0.05,1,0.2534921270780779
0.4261111111111111,0.05,1,0.25345955646559865
0.4280555555555555,0.05,1,0.2534274540674511
0.42999999999999994,0.05,1,0.2533958105315553
0.43194444444444446,0.05,1,0.2533646167517965
0.4338888888888889,0.05,1,0.2533338638598129
0.4358333333333333,0.05,1,0.25330354321712245
0.4377777777777777,0.05,1,0.253273646407567
0.43972222222222224,0.05,1,0.25324416523006643
0.44166666666666665,0.05,1,0.25321509169165884
0.44361111111111107,0.05,1,0.2531864180008182
0.4455555555555556,0.05,1,0.25315813656103875
0.4475,0.05,1,0.2531302399646635
0.4494444444444444,0.05,1,0.2531027209869597
0.45138888888888884,0.05,1,0.2530755725804174
0.45333333333333337,0.05,1,0.25304878786926643
0.4552777777777778,0.05,1,0.25302236014420315
0.4572222222222222,0.05,1,0.25299628285731307
0.4591666666666666,0.05,1,0.25297054961718557
0.46111111111111114,0.05,1,0.2529451541842069
0.46305555555555555,0.05,1,0.25292009046602754
0.46499999999999997,0.05,1,0.25289535251319595
0.4669444444444444,0.05,1,0.2528709345149491
0.4688888888888889,0.05,1,0.252846830795155
0.4708333333333333,0.05,1,0.2528230358083998
0.47277777777777774,0.05,1,0.2527995441362148
0.47472222222222216,0.05,1,0.25277635048343444
0.4766666666666667,0.05,1,0.2527534496746838
0.4786111111111111,0.05,1,0.25273083665098656
0.4805555555555555,0.05,1,0.25270850646648985
0.48250000000000004,0.05,1,0.2526864542853029
0.48444444444444446,0.05,1,0.25266467537844284
0.48638888888888887,0.05,1,0.25264316512088014
0.4883333333333333,0.05,1,0.25262191898868996
0.4902777777777778,0.05,1,0.252600932556293
0.4922222222222222,0.05,1,0.25258020149379007
0.49416666666666664,0.05,1,0.25255972156438355
0.49611111111111106,0.05,1,0.25253948862188463
0.4980555555555556,0.05,1,0.25251949860829975
0.5,0.05,1,0.25249974755149673
0.15,0.051875000000000004,1,0.04926601501717599
0.15194444444444444,0.051875000000000004,1,0.05070973231900863
0.15388888888888888,0.051875000000000004,1,0.05218244888443291
0.15583333333333332,0.051875000000000004,1,0.053684795152394146
0.15777777777777777,0.051875000000000004,1,0.055217433076888534
0.1597222222222222,0.051875000000000004,1,0.056781058283413635
0.16166666666666665,0.051875000000000004,1,0.05837640242254713
0.1636111111111111,0.051875000000000004,1,0.06000423574312111
0.16555555555555554,0.051875000000000004,1,0.061665369910568826
0.16749999999999998,0.051875000000000004,1,0.0633606610996113
0.16944444444444445,0.051875000000000004,1,0.06509101339466257
0.17138888888888887,0.051875000000000004,1,0.06685738253623938
0.17333333333333334,0.051875000000000004,1,0.06866078005743836
0.17527777777777778,0.051875000000000004,1,0.07050227786133856
0.17722222222222223,0.051875000000000004,1,0.07238301329822913
0.17916666666666667,0.051875000000000004,1,0.07430419481110859
0.1811111111111111,0.051875000000000004,1,0.07626710822927027
0.18305555555555555,0.051875000000000004,1,0.07827312380341574
0.185,0.051875000000000004,1,0.08032370409209695
0.18694444444444444,0.051875000000000004,1,0.08242041282907403
0.18888888888888888,0.051875000000000004,1,0.08456492492517108
0.19083333333333333,0.051875000000000004,1,0.08675903778749924
0.19277777777777777,0.051875000000000004,1,0.08900468417486153
0.1947222222222222,0.051875000000000004,1,0.09130394685247534
0.19666666666666666,0.051875000000000004,1,0.09365907536420824
0.1986111111111111,0.051875000000000004,1,0.0960725053093064
0.20055555555555554,0.051875000000000004,1,0.09854688059713262
0.20249999999999999,0.051875000000000004,1,0.10108507926313369
0.20444444444444443,0.051875000000000004,1,0.10369024356936048
0.20638888888888887,0.051875000000000004,1,0.10636581529334418
0.20833333333333331,0.051875000000000004,1,0.10911557734366575
0.21027777777777779,0.051875000000000004,1,0.1119437031483029
0.2122222222222222,0.051875000000000004,1,0.11485481566979416
0.21416666666666667,0.051875000000000004,1,0.11785405844816751
0.2161111111111111,0.051875000000000004,1,0.12094718181458
0.21805555555555556,0.051875000000000004,1,0.12414064843865977
0.21999999999999997,0.051875000000000004,1,0.1274417637949049
0.22194444444444444,0.051875000000000004,1,0.13085883914820706
0.2238888888888889,0.051875000000000004,1,0.13440139756174546
0.22583333333333333,0.051875000000000004,1,0.1380804376944061
0.22777777777777777,0.051875000000000004,1,0.14190877655091538
0.22972222222222222,0.051875000000000004,1,0.14590150217202594
0.23166666666666666,0.051875000000000004,1,0.15007658274881652
0.2336111111111111,0.051875000000000004,1,0.15445570384077723
0.23555555555555555,0.051875000000000004,1,0.15906544778669335
0.2375,0.051875000000000004,1,0.16393900370587428
0.23944444444444443,0.051875000000000004,1,0.16911873297045413
0.24138888888888888,0.051875000000000004,1,0.17466018018876533
0.24333333333333332,0.051875000000000004,1,0.18063867125669664
0.24527777777777776,0.051875000000000004,1,0.1871608888177505
0.24722222222222223,0.051875000000000004,1,0.1943869692714556
0.24916666666666665,0.051875000000000004,1,0.2025778914366425
0.2511111111111111,0.051875000000000004,1,0.21221630192803942
0.25305555555555553,0.051875000000000004,1,0.22442011743813506
0.255,0.051875000000000004,1,0.24388130308357692
0.2569444444444444,0.051875000000000004,1,0.2616853797583292
0.2588888888888889,0.051875000000000004,1,0.2614421727105459
0.2608333333333333,0.051875000000000004,1,0.26120910650157736
0.2627777777777778,0.051875000000000004,1,0.2609854508302452
0.2647222222222222,0.051875000000000004,1,0.2607705529453347
0.26666666666666666,0.051875000000000004,1,0.2605638268258373
0.26861111111111113,0.051875000000000004,1,0.26036474420904204
0.27055555555555555,0.051875000000000004,1,0.2601728270969162
0.27249999999999996,0.051875000000000004,1,0.2599876414552062
0.27444444444444444,0.051875000000000004,1,0.2598087918824736
0.2763888888888889,0.051875000000000004,1,0.2596359170736774
0.2783333333333333,0.051875000000000004,1,0.2594686859390634
0.28027777777777774,0.051875000000000004,1,0.25930679426696945
0.2822222222222222,0.051875000000000004,1,0.2591499618407765
