Omega_over_gamma,Delta_over_gamma,winner_k,global_gap_over_gamma
3.5500000000000003,0.1,1,0.2501982191682597
3.6,0.1,1,0.25019275536823304
3.6500000000000004,0.1,1,0.25018751435479114
3.7,0.1,1,0.25018248418074185
3.75,0.1,1,0.25017765368899614
3.8000000000000003,0.1,1,0.25017301245069823
3.85,0.1,1,0.25016855070892685
3.9000000000000004,0.1,1,0.25016425932742453
3.95,0.1,1,0.2501601297438022
4.0,0.1,1,0.250156153926847
4.05,0.1,1,0.25015232433745993
4.1000000000000005,0.1,1,0.2501486338929184
4.15,0.1,1,0.2501450759341246
4.2,0.1,1,0.25014164419556423
4.25,0.1,1,0.2501383327777216
4.3,0.1,1,0.25013513612172433
4.3500000000000005,0.1,1,0.25013204898601415
4.4,0.1,1,0.2501290664248602
4.45,0.1,1,0.2501261837685453
4.5,0.1,1,0.2501233966050945
4.55,0.1,1,0.25012070076338655
4.6000000000000005,0.1,1,0.25011809229755233
4.65,0.1,1,0.2501155674725357
4.7,0.1,1,0.2501131227507214
4.75,0.1,1,0.25011075477954137
4.800000000000001,0.1,1,0.25010846037997947
4.8500000000000005,0.1,1,0.25010623653591235
4.9,0.1,1,0.2501040803841886
4.95,0.1,1,0.25010198920540716
5.0,0.1,1,0.250099960415354
0.0,0.15000000000000002,1,0.5
0.05,0.15000000000000002,1,0.0046228056027339155
0.1,0.15000000000000002,1,0.01894561427042348
0.15000000000000002,0.15000000000000002,1,0.044569042905668335
0.2,0.15000000000000002,1,0.08529504997660207
0.25,0.15000000000000002,1,0.15122758023781604
0.30000000000000004,0.15000000000000002,1,0.2786287383508017
0.35000000000000003,0.15000000000000002,2,0.3038478659930981
0.4,0.15000000000000002,1,0.2873117147733022
0.45,0.15000000000000002,1,0.27811883643312
0.5,0.15000000000000002,1,0.27230505307835107
0.55,0.15000000000000002,1,0.26825854366588997
0.6000000000000001,0.15000000000000002,1,0.26527889553788936
0.65,0.15000000000000002,1,0.2630005035299647
0.7000000000000001,0.15000000000000002,1,0.261209805369095
0.75,0.15000000000000002,1,0.2597722460164394
0.8,0.15000000000000002,1,0.258598322125634
