Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,low_rank_min,low_rank_winner,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.25166666666666665,0.07453333333333334,0.19724481296313862,0.2778320904701676,0.19724481296313862,1,3,0.3026809694685251,0.10543615650538646,1
0.25166666666666665,0.0748,0.1970543301312331,0.2778864749139384,0.1970543301312331,1,3,0.30270862159309425,0.10565429146186114,1
0.25166666666666665,0.07506666666666667,0.19686425300841562,0.27794106376734345,0.19686425300841562,1,3,0.30273637215274407,0.10587211914432845,1
0.25166666666666665,0.07533333333333334,0.19667457882192935,0.2779958571294705,0.19667457882192935,1,3,0.3027642211425584,0.10608964232062906,1
0.25166666666666665,0.0756,0.19648530483960067,0.27805085509955135,0.19648530483960067,1,3,0.3027921685575699,0.10630686371796924,1
0.25166666666666665,0.07586666666666667,0.19629642836898117,0.27810605777695585,0.19629642836898117,1,3,0.30282021439277934,0.10652378602379817,1
0.25166666666666665,0.07613333333333333,0.19610794675650783,0.2781614652611899,0.19610794675650783,1,3,0.3028483586431323,0.10674041188662448,1
0.25166666666666665,0.0764,0.19591985738669526,0.27821707765189074,0.19591985738669526,1,3,0.3028766013035355,0.10695674391684024,1
0.25166666666666665,0.07666666666666667,0.1957321576813411,0.2782728950488254,0.1957321576813411,1,3,0.3029049423688468,0.10717278468750568,1
0.25166666666666665,0.07693333333333334,0.19554484509875675,0.27832891755188505,0.19554484509875675,1,3,0.30293338183388113,0.10738853673512438,1
0.25166666666666665,0.0772,0.19535791713301362,0.2783851452610833,0.19535791713301362,1,3,0.30296191969340674,0.10760400256039312,1
0.25166666666666665,0.07746666666666667,0.19517137131321885,0.2784415782765564,0.19517137131321885,1,3,0.3029905559421447,0.10781918462892584,1
0.25166666666666665,0.07773333333333333,0.19498520520279447,0.2784982166985492,0.19498520520279447,1,3,0.3030192905747715,0.10803408537197703,1
0.25166666666666665,0.078,0.1947994163987894,0.27855506062742474,0.1947994163987894,1,3,0.30304812358591793,0.10824870718712853,1
0.25166666666666665,0.07826666666666666,0.19461400253120148,0.2786121101636501,0.19461400253120148,1,3,0.30307705497016013,0.10846305243895865,1
0.25166666666666665,0.07853333333333333,0.1944289612623205,0.2786693654078008,0.1944289612623205,1,3,0.3031060847220367,0.1086771234597162,1
0.25166666666666665,0.0788,0.19424429028608053,0.2787268264605508,0.19424429028608053,1,3,0.3031352128360335,0.10889092254995297,1
0.25166666666666665,0.07906666666666667,0.1940599873274425,0.2787844934226737,0.1940599873274425,1,3,0.3031644393065895,0.10910445197914698,1
0.25166666666666665,0.07933333333333334,0.1938760501417747,0.2788423663950363,0.1938760501417747,1,3,0.3031937641280952,0.10931771398632048,1
0.25166666666666665,0.0796,0.1936924765142653,0.278900445478596,0.1936924765142653,1,3,0.3032231872948926,0.10953071078062732,1
0.25166666666666665,0.07986666666666667,0.19350926425933718,0.27895873077439753,0.19350926425933718,1,3,0.30325270880127386,0.10974344454193669,1
0.25166666666666665,0.08013333333333333,0.19332641122008415,0.27901722238356746,0.19332641122008415,1,3,0.30328232864148313,0.10995591742139899,1
0.25166666666666665,0.0804,0.19314391526771824,0.27907592040731377,0.19314391526771824,1,3,0.3033120468097162,0.11016813154199795,1
0.25166666666666665,0.08066666666666666,0.19296177430103162,0.27913482494691744,0.19296177430103162,1,3,0.30334186330011664,0.11038008899908502,1
0.25166666666666665,0.08093333333333333,0.19277998624587034,0.2791939361037337,0.19277998624587034,1,3,0.30337177810677773,0.1105917918609074,1
0.25166666666666665,0.0812,0.1925985490546212,0.27925325397918216,0.1925985490546212,1,3,0.30340179122374555,0.11080324216912435,1
0.25166666666666665,0.08146666666666666,0.1924174607057142,0.27931277867475146,0.1924174607057142,1,3,0.30343190264501113,0.11101444193929694,1
0.25166666666666665,0.08173333333333332,0.19223671920312996,0.27937251029198495,0.19223671920312996,1,3,0.3034621123645163,0.11122539316138635,1
0.25166666666666665,0.082,0.19205632257592598,0.27943244893248453,0.19205632257592598,1,3,0.3034924203761541,0.11143609780022812,1
0.25166666666666665,0.08226666666666667,0.19187626887777012,0.2794925946979052,0.19187626887777012,1,3,0.3035228266737613,0.11164655779599117,1
0.25166666666666665,0.08253333333333333,0.19169655618648584,0.27955294768994726,0.19169655618648584,1,3,0.303553331251125,0.11185677506463915,1
0.25166666666666665,0.0828,0.19151718260360967,0.27961350801035684,0.19151718260360967,1,3,0.3035839341019799,0.11206675149837025,1
0.25166666666666665,0.08306666666666666,0.1913381462539559,0.27967427576091947,0.1913381462539559,1,3,0.303614635220008,0.11227648896605208,1
0.25166666666666665,0.08333333333333333,0.19115944528519477,0.279735251043456,0.19115944528519477,1,3,0.30364543459883797,0.1124859893136432,1
0.25166666666666665,0.0836,0.19098107786743862,0.2797964339598185,0.19098107786743862,1,3,0.3036763322320443,0.1126952543646057,1
0.25166666666666665,0.08386666666666666,0.19080304219283684,0.2798578246118868,0.19080304219283684,1,3,0.30370732811314927,0.11290428592031243,1
0.25166666666666665,0.08413333333333332,0.1906253364751837,0.27991942310156365,0.1906253364751837,1,3,0.30373842223561853,0.11311308576043483,1
0.25166666666666665,0.0844,0.19044795894952982,0.2799812295307697,0.19044795894952982,1,3,0.3037696145928666,0.1133216556433368,1
0.25166666666666665,0.08466666666666667,0.19027090787180692,0.2800432440014412,0.19027090787180692,1,3,0.30380090517825303,0.11352999730644611,1
0.25166666666666665,0.08493333333333333,0.19009418151845855,0.2801054666155226,0.19009418151845855,1,3,0.3038322939850776,0.11373811246661905,1
0.25166666666666665,0.0852,0.1899177781860804,0.28016789747496634,0.1899177781860804,1,3,0.3038637810065938,0.11394600282051337,1
0.25166666666666665,0.08546666666666666,0.189741696191069,0.28023053668172226,0.189741696191069,1,3,0.30389536623598973,0.11415367004492072,1
0.25166666666666665,0.08573333333333333,0.1895659338692764,0.28029338433774054,0.1895659338692764,1,3,0.30392704966640316,0.11436111579712677,1
0.25166666666666665,0.086,0.1893904895756735,0.2803564405449617,0.1893904895756735,1,3,0.30395883129091267,0.11456834171523916,1
0.2520833333333333,0.07,0.20223124216755634,0.27698132470137726,0.20223124216755634,1,3,0.3023644820655384,0.10013323989798206,1
0.2520833333333333,0.07026666666666667,0.20202565714759924,0.27703206983984807,0.20202565714759924,1,3,0.30239038487299885,0.10036472772539962,1
0.2520833333333333,0.07053333333333334,0.20182061089934566,0.2770830169005337,0.20182061089934566,1,3,0.30241638589942177,0.1005957750000761,1
0.2520833333333333,0.0708,0.20161609851889942,0.2771341659779979,0.20161609851889942,1,3,0.3024424851405249,0.10082638662162549,1
0.2520833333333333,0.07106666666666667,0.20141211519097976,0.2771855171669883,0.20141211519097976,1,3,0.302468682591989,0.10105656740100924,1
0.2520833333333333,0.07133333333333333,0.20120865618668524,0.2772370705624396,0.20120865618668524,1,3,0.30249497824945126,0.10128632206276603,1
