Omega_center,Delta_center,halfwidth,depth,winner_side,box_status,passed,sigma_minus_diff
0.26566562499999996,0.083921875,3.125e-06,4,2,crosses_boundary,False,
0.26567187499999995,0.083915625,3.125e-06,4,2,certified_box,True,0.02195399755661598
0.26567187499999995,0.083921875,3.125e-06,4,2,certified_box,True,0.021953447288158255
0.26566562499999996,0.08392812499999999,3.125e-06,4,2,crosses_boundary,False,
0.26566562499999996,0.083934375,3.125e-06,4,1,crosses_boundary,False,
0.26567187499999995,0.08392812499999999,3.125e-06,4,2,certified_box,True,0.021952896981519383
0.26567187499999995,0.083934375,3.125e-06,4,2,crosses_boundary,False,
0.26566562499999996,0.08394062499999999,3.125e-06,4,1,certified_box,True,0.022120264112356357
0.26566562499999996,0.083946875,3.125e-06,4,1,certified_box,True,0.022217558767598972
0.26567187499999995,0.08394062499999999,3.125e-06,4,2,crosses_boundary,False,
0.26567187499999995,0.083946875,3.125e-06,4,1,crosses_boundary,False,
0.26566562499999996,0.08395312499999999,3.125e-06,4,1,certified_box,True,0.02231342279162334
0.26566562499999996,0.083959375,3.125e-06,4,1,certified_box,True,0.022407914117985393
0.26567187499999995,0.08395312499999999,3.125e-06,4,1,crosses_boundary,False,
0.26567187499999995,0.083959375,3.125e-06,4,1,certified_box,True,0.022175240150194845
0.26567812500000004,0.08395312499999999,3.125e-06,4,2,crosses_boundary,False,
0.26567812500000004,0.083959375,3.125e-06,4,1,crosses_boundary,False,
0.26568437500000003,0.08395312499999999,3.125e-06,4,2,certified_box,True,0.021953408200331728
0.26568437500000003,0.083959375,3.125e-06,4,2,certified_box,True,0.021952858175177968
0.26567812500000004,0.08396562499999999,3.125e-06,4,1,crosses_boundary,False,
0.26567812500000004,0.083971875,3.125e-06,4,1,certified_box,True,0.022132845542471677
0.26568437500000003,0.08396562499999999,3.125e-06,4,2,crosses_boundary,False,
0.26568437500000003,0.083971875,3.125e-06,4,2,crosses_boundary,False,
0.26567812500000004,0.08397812499999999,3.125e-06,4,1,certified_box,True,0.022229635176060893
0.26567812500000004,0.083984375,3.125e-06,4,1,certified_box,True,0.02232501623009575
0.26568437500000003,0.08397812499999999,3.125e-06,4,1,crosses_boundary,False,
0.26568437500000003,0.083984375,3.125e-06,4,1,crosses_boundary,False,
0.265690625,0.08397812499999999,3.125e-06,4,2,certified_box,True,0.021952578955314214
0.265690625,0.083984375,3.125e-06,4,2,crosses_boundary,False,
0.265696875,0.08397812499999999,3.125e-06,4,2,certified_box,True,0.02195395918785429
