Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.25,0.14,4,0.15580671780813335,0.1568063723760255,0.75,0.8684115634034539,0.675
0.25,0.14,5,0.15580671780813335,0.18672608287711404,0.9500000000000001,1.6839310105475325,0.8500000000000001
0.25,0.14,6,0.15580671780813335,0.21717778771927634,1.175,3.0174201810813206,1.05
0.25,0.14,7,0.15580671780813335,0.24653624481089856,1.375,5.080718131107275,1.225
0.25,0.14,8,0.15580671780813335,0.27497580479845085,1.6,7.9722414119070395,0.0
0.25,0.14,9,0.15580671780813335,0.3019377908537772,1.8,12.02716221732805,0.0
0.25,0.14,10,0.15580671780813335,0.32740554334544797,2.025,17.627795112658603,0.0
0.25,0.14,11,0.15580671780813335,0.35169762509344515,2.25,25.20500066886674,0.0
0.25,0.14,12,0.15580671780813335,0.3749576331967976,2.475,35.27139288051812,0.0
0.25,0.15000000000000002,3,0.15122758023781604,0.13365020277463235,0.55,0.42260704906215135,0.47500000000000003
0.25,0.15000000000000002,4,0.15122758023781604,0.16158848655108407,0.75,0.9014444407840488,0.675
0.25,0.15000000000000002,5,0.15122758023781604,0.1913487433357563,0.9500000000000001,1.734667312651825,0.8500000000000001
0.25,0.15000000000000002,6,0.15122758023781604,0.2217350699330053,1.175,3.0938125779698713,1.0250000000000001
0.25,0.15000000000000002,7,0.15122758023781604,0.25108027379743814,1.375,5.166487861652621,0.0
0.25,0.15000000000000002,8,0.15122758023781604,0.279542923414768,1.6,8.056906348104361,0.0
0.25,0.15000000000000002,9,0.15122758023781604,0.3065077537440141,1.8,12.140955564613272,0.0
0.25,0.15000000000000002,10,0.15122758023781604,0.3320057290463626,2.025,17.777354812707753,0.0
0.25,0.15000000000000002,11,0.15122758023781604,0.35632151989341243,2.25,25.39797851329853,0.0
0.25,0.15000000000000002,12,0.15122758023781604,0.37959936052969645,2.475,35.51654373481286,0.0
0.25,0.16,3,0.14683284789843098,0.13859291979286772,0.55,0.44176017651204524,0.47500000000000003
0.25,0.16,4,0.14683284789843098,0.16625892786358998,0.75,0.9345927849480584,0.675
0.25,0.16,5,0.14683284789843098,0.1958492248576008,0.9500000000000001,1.7853140754642742,0.8500000000000001
0.25,0.16,6,0.14683284789843098,0.22616459359592633,1.1500000000000001,3.1679710505679037,1.0250000000000001
