Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.25,0.27,3,0.10815217646025424,0.18859966150205953,0.55,0.5720750651842181,0.0
0.25,0.27,4,0.10815217646025424,0.2122256334572324,0.75,1.1865518527348338,0.0
0.25,0.27,5,0.10815217646025424,0.2392260524641527,0.9500000000000001,2.159473199745374,0.0
0.25,0.27,6,0.10815217646025424,0.26831956802748574,1.1500000000000001,3.640991714548953,0.0
0.25,0.27,7,0.10815217646025424,0.2975400818313198,1.375,5.824480311200909,0.0
0.25,0.27,8,0.10815217646025424,0.32621120308876744,1.5750000000000002,8.953224620189587,0.0
0.25,0.27,9,0.10815217646025424,0.353479784558013,1.8,13.327845425149599,0.0
0.25,0.27,10,0.10815217646025424,0.37944449736836494,2.025,19.31430609170202,0.0
0.25,0.27,11,0.10815217646025424,0.404126742581796,2.25,27.352359485713496,0.0
0.25,0.27,12,0.10815217646025424,0.42767398048676497,2.475,37.96429385452302,0.0
0.25,0.28,3,0.10534094912529758,0.19287227520669745,0.55,0.5804230867199144,0.0
0.25,0.28,4,0.10534094912529758,0.21603167081992503,0.775,1.2019026441683942,0.0
0.25,0.28,5,0.10534094912529758,0.24274522235244417,0.9500000000000001,2.1839668115364512,0.0
0.25,0.28,6,0.10534094912529758,0.27169570813007693,1.1500000000000001,3.6770049859716365,0.0
0.25,0.28,7,0.10534094912529758,0.3008945766836785,1.375,5.874655657601322,0.0
0.25,0.28,8,0.10534094912529758,0.32957312392449817,1.5750000000000002,9.020493452167985,0.0
0.25,0.28,9,0.10534094912529758,0.35689527812214655,1.8,13.415448461511724,0.0
0.25,0.28,10,0.10534094912529758,0.38291018383934644,2.025,19.425813547480956,0.0
0.25,0.28,11,0.10534094912529758,0.407632309270715,2.25,27.491694562558695,0.0
0.25,0.28,12,0.10534094912529758,0.43120879262336,2.475,38.135763091984224,0.0
0.25,0.29,3,0.10262491186020757,0.1970479827759509,0.5750000000000001,0.5887485957037857,0.0
0.25,0.29,4,0.10262491186020757,0.21973659310933985,0.775,1.2171903121583736,0.0
0.25,0.29,5,0.10262491186020757,0.24621083745992328,0.9500000000000001,2.208318010835345,0.0
0.25,0.29,6,0.10262491186020757,0.2750120314351853,1.1500000000000001,3.7127384772197867,0.0
0.25,0.29,7,0.10262491186020757,0.3041868988301958,1.375,5.924332195952123,0.0
0.25,0.29,8,0.10262491186020757,0.33287396285226434,1.5750000000000002,9.086934958003388,0.0
0.25,0.29,9,0.10262491186020757,0.3602515420027623,1.8,13.501754074980086,0.0
0.25,0.29,10,0.10262491186020757,0.3863187310806803,2.025,19.535375625161215,0.0
0.25,0.29,11,0.10262491186020757,0.411082527745576,2.25,27.628218135415167,0.0
0.25,0.29,12,0.10262491186020757,0.4346896107481961,2.475,38.30329244338737,0.0
0.25,0.3,3,0.10000000000000006,0.20119815898051127,0.5750000000000001,0.5970564653569657,0.0
0.25,0.3,4,0.10000000000000006,0.2234027350413843,0.775,1.2324243732727749,0.0
0.25,0.3,5,0.10000000000000006,0.2496260299830368,0.9500000000000001,2.2325430452654786,0.0
0.25,0.3,6,0.10000000000000006,0.2782714247351138,1.1500000000000001,3.748217864923158,0.0
0.25,0.3,7,0.10000000000000006,0.3074197914436248,1.375,5.973548452552069,0.0
0.25,0.3,8,0.10000000000000006,0.3361164254418618,1.5750000000000002,9.152604762500692,0.0
0.25,0.3,9,0.10000000000000006,0.3635513188061556,1.8,13.58684016249784,0.0
0.25,0.3,10,0.10000000000000006,0.38967294913120537,2.025,19.64309867854334,0.0
0.25,0.3,11,0.10000000000000006,0.41448027987225083,2.25,27.76207228586253,0.0
0.25,0.3,12,0.10000000000000006,0.4381193802176875,2.475,38.46706813918032,0.0
0.26,0.05,3,0.26039250153388793,0.03643264741757447,0.5750000000000001,0.10417247320012449,0.5750000000000001
0.26,0.05,4,0.26039250153388793,0.0670869883863224,0.8,0.3552402766505196,0.775
0.26,0.05,5,0.26039250153388793,0.09867716610158615,1.0,0.888801078644907,0.9750000000000001
0.26,0.05,6,0.26039250153388793,0.1304866123294151,1.225,1.8659202831232358,1.175
0.26,0.05,7,0.26039250153388793,0.16098591992855033,1.4500000000000002,3.491212138735971,1.4000000000000001
0.26,0.05,8,0.26039250153388793,0.1897457501912448,1.675,6.007210815051124,1.6
0.26,0.05,9,0.26039250153388793,0.21688723234716295,1.9000000000000001,9.7348078378894,1.8
0.26,0.05,10,0.26039250153388793,0.24267643985234372,2.125,15.012501267415379,2.025
0.26,0.05,11,0.26039250153388793,0.2672491049351477,2.375,22.277378462853658,2.25
0.26,0.05,12,0.26039250153388793,0.290575035411137,2.6,32.00222039551725,2.45
0.26,0.060000000000000005,3,0.26600984288127094,0.03235390064911808,0.5750000000000001,0.09177004528907393,0.5750000000000001
0.26,0.060000000000000005,4,0.26600984288127094,0.0626585932976911,0.8,0.3304369159341941,0.775
0.26,0.060000000000000005,5,0.26600984288127094,0.09418504312701595,1.0,0.8456426800869579,0.9750000000000001
0.26,0.060000000000000005,6,0.26600984288127094,0.12596703320966204,1.225,1.7970383886378067,1.175
0.26,0.060000000000000005,7,0.26600984288127094,0.15646086612167526,1.4500000000000002,3.3816135715071227,1.4000000000000001
0.26,0.060000000000000005,8,0.26600984288127094,0.18521366393878166,1.675,5.850230270068794,1.6
0.26,0.060000000000000005,9,0.26600984288127094,0.2123451319956348,1.9000000000000001,9.512427323530142,1.8250000000000002
0.26,0.060000000000000005,10,0.26600984288127094,0.23812328985467807,2.125,14.707208009676794,2.025
0.26,0.060000000000000005,11,0.26600984288127094,0.2626701738367017,2.375,21.861003784735864,2.25
