Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,low_rank_min,low_rank_winner,best_high_k,best_high_gap,higher_rank_margin,global_winner_among_1_to_Kmax
0.20375000000000001,0.08675,0.09886830661768939,0.27983320617131063,0.09886830661768939,1,3,0.29067004611700675,0.19180173949931736,1
0.20375000000000001,0.0885,0.09863701519408435,0.28055208555312977,0.09863701519408435,1,3,0.2909884682891617,0.19235145309507734,1
0.20375000000000001,0.09025,0.09840280085268524,0.2812900290070518,0.09840280085268524,1,3,0.2913134069912488,0.19291060613856356,1
0.20375000000000001,0.092,0.09816573916360119,0.28204735573436757,0.09816573916360119,1,3,0.29164486876199924,0.19347912959839805,1
0.20375000000000001,0.09375,0.09792590531213388,0.282824393800617,0.09792590531213388,1,3,0.2919828599655473,0.1940569546534134,1
0.20375000000000001,0.0955,0.09768337405088276,0.28362147994054027,0.09768337405088276,1,3,0.29232738676977565,0.1946440127188929,1
0.20375000000000001,0.09725,0.09743821965422914,0.28443895928366647,0.09743821965422914,1,3,0.2926784551238768,0.19524023546964767,1
0.20375000000000001,0.099,0.09719051587517913,0.2852771849872642,0.09719051587517913,1,3,0.2930360707350958,0.19584555485991667,1
0.20375000000000001,0.10075,0.09694033590453896,0.2861365177616119,0.09694033590453896,1,3,0.29340023904464224,0.19645990314010328,1
0.20375000000000001,0.1025,0.09668775233240154,0.28701732527056134,0.09668775233240154,1,3,0.29377096520276547,0.19708321287036393,1
0.20375000000000001,0.10425,0.09643283711190032,0.28791998138817576,0.09643283711190032,1,3,0.2941482540429498,0.1977154169310495,1
0.20375000000000001,0.106,0.09617566152519855,0.28884486528987696,0.09617566152519855,1,3,0.2945321100552434,0.19835644853004483,1
0.20375000000000001,0.10775,0.095916296151669,0.28979236035393774,0.095916296151669,1,3,0.29492253735867474,0.19900624120700575,1
0.20375000000000001,0.1095,0.09565481083821806,0.2907628528464618,0.09565481083821806,1,3,0.2953195396727711,0.19966472883455302,1
