Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,gap2_minus_gap1,winner_k
0.2647525,0.07653499999999999,0.2791881120706176,0.27954721159933105,0.00035909952871343576,1
0.2647525,0.07654999999999999,0.2792063582723689,0.27955002970100323,0.0003436714286343401,1
0.2647525,0.076565,0.2792246206161976,0.2795528483747798,0.0003282277585821558,1
0.2647525,0.07658,0.2792428991333513,0.2795556676206704,0.0003127684873190928,1
0.2647525,0.076595,0.2792611938551796,0.2795584874386862,0.00029729358350660817,1
0.2647525,0.07661,0.27927950481313785,0.27956130782883537,0.00028180301569752375,1
0.2647525,0.076625,0.2792978320387838,0.2795641287911299,0.00026629675234612904,1
0.2647525,0.07664,0.2793161755637836,0.27956695032557877,0.00025077476179519165,1
0.2647525,0.076655,0.27933453541990666,0.27956977243219283,0.00023523701228617133,1
0.2647525,0.07667,0.27935291163902964,0.2795725951109817,0.00021968347195205906,1
0.2647525,0.07668499999999999,0.27937130425313506,0.2795754183619547,0.00020411410881965297,1
0.2647525,0.07669999999999999,0.27938971329431495,0.27957824218512245,0.00018852889080750446,1
0.2647525,0.07671499999999999,0.2794081387947648,0.2795810665804956,0.00017292778573080314,1
0.2647525,0.07672999999999999,0.27942658078679444,0.2795838915480837,0.00015731076128927546,1
0.2647525,0.076745,0.2794450393028152,0.27958671708789556,0.0001416777850803408,1
0.2647525,0.07676,0.27946351437535466,0.2795895431999428,0.00012602882458812026,1
0.2647525,0.076775,0.27948200603704487,0.2795923698842355,0.00011036384719065317,1
0.2647525,0.07679,0.2795005143206307,0.2795951971407817,9.468282015095975e-05,1
0.2647525,0.076805,0.2795190392589679,0.2795980249695943,7.898571062636695e-05,1
0.2647525,0.07682,0.27953758088502156,0.2796008533706814,6.327248565984878e-05,1
0.2647525,0.076835,0.2795561392318725,0.27960368234405353,4.754311218102547e-05,1
0.2647525,0.07685,0.2795747143327089,0.2796065118897205,3.179755701160358e-05,1
0.2647525,0.07686499999999999,0.2795933062208352,0.2796093420076933,1.6035786858048517e-05,1
0.2647525,0.07687999999999999,0.27961191492966964,0.27961217269797994,2.5776831030777103e-07,1
0.2647525,0.07689499999999999,0.27963054049274233,0.2796150039605926,-1.553653214975137e-05,2
0.2647525,0.07690999999999999,0.2796491829436973,0.27961783579553995,-3.134714815733464e-05,2
0.2647525,0.076925,0.27966784231629904,0.2796206682028331,-4.7174113465942025e-05,2
0.2647525,0.07694,0.2796865186444201,0.2796235011824807,-6.30174619394297e-05,2
0.2647525,0.076955,0.27970521196205556,0.27962633473449455,-7.88772275610028e-05,2
0.2647525,0.07697,0.27972392230331417,0.2796291688588835,-9.475344443066192e-05,2
0.2647525,0.076985,0.2797426497024205,0.27963200355565726,-0.00011064614676326023,2
0.2647525,0.077,0.27976139419372154,0.2796348388248258,-0.00012655536889571994,2
0.2647525,0.077015,0.27978015581167875,0.27963767466640044,-0.000142481145278317,2
0.2647525,0.07703,0.2797989345908741,0.27964051108039045,-0.00015842351048367398,2
0.2647525,0.077045,0.27981773056601,0.27964334806680635,-0.00017438249920365134,2
0.2647525,0.07705999999999999,0.27983654377190686,0.2796461856256568,-0.0001903581462500692,2
0.2647525,0.07707499999999999,0.27985537424350676,0.2796490237569534,-0.00020635048655337496,2
0.2647525,0.07708999999999999,0.2798742220158748,0.27965186246070484,-0.00022235955516997086,2
0.2647525,0.07710499999999999,0.27989308712419403,0.27965470173692325,-0.00023838538727077863,2
0.2647525,0.07712,0.27991196960377557,0.279657541585616,-0.0002544280181595582,2
0.2647525,0.077135,0.27993086949004886,0.27966038200679477,-0.00027048748325408933,2
